numeric_u,numeric_v,original_u,original_v
2,421,393,402
4,82,395,52
4,86,395,57
5,1261,396,1261
6,90,397,61
6,365,397,345
7,845,398,835
7,1097,398,1094
8,805,399,794
9,605,401,589
9,634,401,620
10,227,402,201
10,231,402,206
10,232,402,207
11,1025,403,1019
11,1027,403,1021
12,738,404,726
13,535,405,517
14,47,406,16
14,346,406,325
15,1085,407,1081
15,1201,407,1200
16,554,408,538
16,953,408,946
17,99,409,70
17,328,409,306
18,101,410,73
18,680,410,667
18,1202,410,1201
19,101,412,73
19,105,412,78
19,680,412,667
20,108,413,82
20,286,413,263
21,262,414,238
21,290,414,268
21,406,414,387
22,257,415,233
22,1059,415,1054
25,727,418,715
26,316,419,294
26,630,419,615
27,652,420,639
28,466,421,448
33,72,2,42
33,90,2,61
45,46,14,15
45,47,14,16
46,244,15,219
47,594,16,578
52,594,21,578
52,934,21,927
57,59,26,28
59,390,28,371
66,69,36,39
66,71,36,41
66,1137,36,1135
69,388,39,369
71,558,41,542
72,73,42,43
72,74,42,44
72,80,42,50
73,506,43,488
75,77,45,47
75,82,45,52
76,96,46,67
77,80,47,50
77,1261,47,1261
78,80,48,50
78,328,48,306
78,338,48,317
80,81,50,51
81,89,51,60
82,1167,52,1165
83,84,54,55
83,422,54,403
84,1167,55,1165
89,90,60,61
91,357,62,337
91,358,62,338
91,1002,62,996
92,96,63,67
93,402,64,383
99,100,70,71
99,101,70,73
100,102,71,74
100,103,71,75
100,325,71,303
102,355,74,335
103,934,75,927
103,948,75,941
103,1202,75,1201
105,107,78,81
107,108,81,82
107,109,81,83
109,806,83,796
111,114,85,88
114,258,88,234
123,461,97,443
123,637,97,623
129,131,103,105
129,133,103,107
130,683,104,670
131,803,105,792
133,821,107,811
143,146,117,120
157,349,131,328
157,427,131,409
161,162,135,136
161,163,135,137
161,164,135,138
162,534,136,516
163,345,137,324
164,373,138,354
181,182,155,156
181,183,155,157
182,1141,156,1139
183,865,157,856
189,1020,163,1014
189,1026,163,1020
227,230,201,205
230,555,205,539
231,342,206,321
232,760,207,748
240,1258,215,1258
242,244,217,219
242,952,217,945
254,255,230,231
254,256,230,232
254,257,230,233
255,259,231,235
256,261,232,237
261,724,237,711
276,651,253,637
276,700,253,687
282,718,259,705
284,718,261,705
284,1227,261,1226
285,286,262,263
285,1227,262,1226
287,404,264,385
287,482,264,464
287,586,264,570
288,289,266,267
288,290,266,268
288,300,266,278
292,293,270,271
292,294,270,272
303,304,281,282
303,307,281,285
304,466,282,448
307,1104,285,1101
309,311,287,289
309,312,287,290
311,634,289,620
312,1073,290,1069
313,314,291,292
313,315,291,293
314,316,292,294
314,317,292,295
317,485,295,467
339,341,318,320
339,342,318,321
341,1026,320,1020
344,345,323,324
344,346,323,325
344,350,323,329
346,750,325,738
349,350,328,329
355,462,335,444
355,1201,335,1200
357,367,337,348
358,370,338,351
365,366,345,346
365,970,345,964
366,1002,346,996
367,368,348,349
370,372,351,353
372,996,353,990
373,376,354,357
376,397,357,378
376,767,357,755
388,390,369,371
397,738,378,726
400,402,381,383
405,483,386,465
406,586,387,570
421,424,402,406
461,554,443,538
462,997,444,991
464,466,446,448
464,467,446,449
466,718,448,705
480,482,462,464
506,508,488,490
508,560,490,544
514,517,496,499
514,518,496,500
517,845,499,835
534,535,516,517
555,607,539,591
558,560,542,544
586,1106,570,1103
586,1109,570,1106
605,606,589,590
608,610,593,595
610,639,595,625
616,1104,601,1101
639,641,625,627
641,865,627,856
652,1141,639,1139
653,654,640,641
653,1020,640,1014
654,767,641,755
679,1059,666,1054
680,1108,667,1105
682,1073,669,1069
732,905,720,896
732,1070,720,1066
736,953,724,946
742,743,730,731
742,851,730,842
743,762,731,750
750,751,738,739
752,850,740,841
760,762,748,750
803,805,792,794
805,905,794,896
1085,1258,1081,1258
1097,1137,1094,1135
