od,origin,destination,original_origin,original_destination,demand,pi_w,protected_demand,unprotected_demand,z_value,covered,u_w,service_capacity_ratio,path_length,shortest_length,detour_cap,model_uncovered_length,uncovered_cap_if_required,reference_path_used
1->14,1,14,392,406,3.0,0.37898177,1.13694531,1.86305469,0.0,False,1.0,0.0,2627.58688841157,2265.516877593976,2718.620253112771,1535.5382140515628,453.10337551879525,True
1->15,1,15,392,407,2.0,0.43688532,0.87377064,1.12622936,0.0,False,1.0,0.0,2116.1348513390312,1954.721992141428,2345.6663905697137,922.4808513390312,390.94439842828564,True
1->16,1,16,392,408,1.0,0.51051601,0.51051601,0.48948399,0.0,False,1.0,0.0,1828.267624468033,1828.267624468033,2193.9211493616394,1275.488738859488,365.65352489360663,True
1->17,1,17,392,409,2.0,0.44227883,0.88455766,1.11544234,0.0,False,1.0,0.0,1535.7983315602833,1455.26214344357,1746.314572132284,856.9013315602832,291.05242868871403,True
1->18,1,18,392,410,1.0,0.50871097,0.50871097,0.49128903,0.0,False,1.0,0.0,1578.701208904545,1578.701208904545,1894.441450685454,847.658956543402,315.740241780909,True
1->19,1,19,392,412,1.0,0.47921654,0.47921654,0.52078346,0.0,False,1.0,0.0,1328.730208904545,1328.730208904545,1594.4762506854538,847.6589565434019,265.746041780909,True
1->2,1,2,392,393,2.0,0.45981818,0.91963636,1.0803636399999998,0.0,False,1.0,0.0,529.818049236598,529.818049236598,635.7816590839176,529.818049236598,105.9636098473196,True
1->20,1,20,392,413,1.0,0.46893949,0.46893949,0.53106051,0.0,False,1.0,0.0,1178.9685175363309,1061.69118002923,1274.029416035076,613.532265175188,212.33823600584603,True
1->24,1,24,392,417,1.0,0.53660787,0.53660787,0.46339213,0.0,False,1.0,0.0,2193.680344943607,2032.375680183543,2438.8508162202515,1275.549320824355,406.4751360367086,True
1->26,1,26,392,419,2.0,0.72270434,1.44540868,0.5545913200000001,0.0,False,1.0,0.0,1975.2890410545444,1730.0705855462556,2076.0847026555066,1214.1451593640825,346.0141171092512,True
1->28,1,28,392,421,2.0,0.4566979,0.9133958,1.0866042,0.0,False,1.0,0.0,1508.4274970976558,1257.1445213119498,1508.5734255743398,1228.0335822360607,251.42890426238998,True
1->29,1,29,392,423,1.0,0.537345,0.537345,0.46265500000000004,0.0,False,1.0,0.0,1013.905,1013.905,1216.686,1013.905,202.781,True
1->3,1,3,392,394,8.0,0.49071069,3.92568552,4.07431448,0.0,False,1.0,0.0,909.4529329092419,909.4529329092419,1091.3435194910903,909.4529329092419,181.8905865818484,True
1->4,1,4,392,395,3.0,0.50406748,1.51220244,1.48779756,0.0,False,1.0,0.0,762.944912262152,762.944912262152,915.5338947145824,712.349912262152,152.5889824524304,True
1->5,1,5,392,396,1.0,0.60153979,0.60153979,0.39846021,0.0,False,1.0,0.0,1107.098178691521,934.76214344357,1121.714572132284,710.841178691521,186.952428688714,True
1->6,1,6,392,397,4.0,0.53765383,2.15061532,1.84938468,0.0,False,1.0,0.0,1554.5310078821221,1296.204187629811,1555.4450251557732,774.2523106425431,259.2408375259622,True
1->7,1,7,392,398,3.0,0.66039576,1.9811872799999999,1.0188127200000001,0.0,False,1.0,0.0,1289.4488208016157,1289.4488208016157,1547.3385849619387,787.5629329092417,257.8897641603232,True
1->8,1,8,392,399,1.0,0.6292769,0.6292769,0.37072309999999997,0.0,False,1.0,0.0,2124.8716387685236,2124.8716387685236,2549.845966522228,926.9561434435695,424.97432775370476,True
1->9,1,9,392,401,1.0,0.39506199,0.39506199,0.60493801,0.0,False,1.0,0.0,2424.025978667184,2235.8443638059935,2683.013236567192,756.6127259942295,447.1688727611987,True
10->11,10,11,402,403,35.0,0.24569016,8.5991556,26.4008444,1.0,True,0.14855023082380156,0.8514497691761984,572.298,572.298,686.7576,85.01499999999999,114.45960000000001,False
10->12,10,12,402,404,23.0,0.22045179,5.070391170000001,17.92960883,1.0,True,2.144848531560928e-16,0.9999999999999998,1065.0748518274672,1060.0919929658592,1272.1103915590309,2.2737367544323206e-13,212.01839859317184,False
10->13,10,13,402,405,14.0,0.42060832,5.88851648,8.11148352,1.0,True,0.09183054641733003,0.90816945358267,1427.495767821081,1403.1169913161282,1683.7403895793539,128.84900000000016,280.6233982632256,False
10->14,10,14,402,406,18.0,0.12903768,2.3226782399999997,15.677321760000002,1.0,True,0.19899183953937485,0.8010081604606252,647.5089646804561,647.5089646804561,777.0107576165473,128.84900000000005,129.50179293609122,False
10->15,10,15,402,407,3.0,0.25540113,0.7662033899999999,2.23379661,0.0,False,1.0,0.0,946.1311045456491,850.2211831777349,1020.2654198132818,272.453439047395,170.044236635547,True
10->16,10,16,402,408,4.0,0.23514626,0.94058504,3.05941496,0.0,False,1.0,0.0,919.781986292009,918.144403038417,1101.7732836461003,330.05032683027,183.6288806076834,True
10->17,10,17,402,409,1.0,0.24331398,0.24331398,0.75668602,0.0,False,1.0,0.0,1464.9273812410179,1294.5541079517059,1553.464929542047,318.47472298620687,258.9108215903412,True
10->18,10,18,402,410,4.0,0.32786046,1.31144184,2.68855816,1.0,True,0.1606044896738622,0.8393955103261378,1427.0741385579963,1229.299031875593,1475.1588382507116,197.4309436709525,245.85980637511864,False
10->19,10,19,402,412,3.0,0.31413553,0.94240659,2.05759341,1.0,True,0.13841407121990434,0.8615859287800957,1426.3791385579962,1426.3791385579962,1711.6549662695954,197.43094367095227,285.2758277115992,False
10->2,10,2,402,393,2.0,0.22282034,0.44564068,1.55435932,1.0,True,0.19592090879871177,0.8040790912012883,2207.134250549871,2207.134250549871,2648.561100659845,432.4237482084943,441.4268501099742,False
10->20,10,20,402,413,5.0,0.22382062,1.1191031,3.8808968999999998,1.0,True,0.11200083513912024,0.8879991648608798,1762.763138557996,1762.763138557996,2115.315766269595,197.43094367095227,352.5526277115992,False
10->21,10,21,402,414,2.0,0.27632836,0.55265672,1.4473432800000001,1.0,True,0.1519149130606587,0.8480850869393413,1582.625064512358,1582.625064512358,1899.1500774148294,240.42434908301425,316.52501290247164,False
10->22,10,22,402,415,4.0,0.51669846,2.06679384,1.9332061600000001,1.0,True,0.13151214747669118,0.8684878525233088,1189.791232233757,1189.791232233757,1427.7494786805084,156.47199999999998,237.95824644675142,False
10->23,10,23,402,416,1.0,0.26241823,0.26241823,0.73758177,0.0,False,1.0,0.0,1909.0184311116059,1886.2684818670791,2263.5221782404947,706.5681274115279,377.25369637341583,True
10->25,10,25,402,418,1.0,0.30555363,0.30555363,0.69444637,0.0,False,1.0,0.0,1994.689045359915,1994.689045359915,2393.626854431898,589.8100000000004,398.93780907198305,True
