numeric_u,numeric_v,original_u,original_v
1,293,393,914
2,22,394,27
3,46,395,57
4,34,396,44
5,127,397,345
6,338,398,1094
7,259,399,794
8,218,401,620
9,377,407,1200
10,71,408,96
10,191,408,537
10,311,408,946
11,70,409,84
11,113,409,303
12,61,410,73
13,61,412,73
17,32,2,42
17,50,2,61
21,22,26,27
21,23,26,28
23,143,28,371
26,27,36,37
26,357,36,1135
27,31,37,41
29,141,39,369
31,194,41,542
32,33,42,43
32,34,42,44
34,125,44,343
35,36,45,46
36,54,46,65
46,126,57,344
51,124,62,338
51,325,62,996
54,55,65,66
55,70,66,84
61,70,73,84
71,73,96,98
73,75,98,100
74,218,99,620
75,232,100,673
78,80,103,105
79,231,104,670
80,257,105,792
82,272,107,811
113,118,303,308
117,118,307,308
117,191,307,537
121,122,335,336
121,377,335,1200
125,126,343,344
127,128,345,346
127,315,345,964
128,325,346,996
132,134,351,353
141,143,369,371
173,175,488,490
175,196,490,544
194,196,542,544
216,295,610,916
216,369,610,1166
230,232,669,673
249,323,722,990
251,311,724,946
257,259,792,794
293,295,914,916
338,357,1094,1135
369,370,1166,1167
