od,origin,destination,original_origin,original_destination,demand,pi_w,protected_demand,unprotected_demand,z_value,covered,u_w,service_capacity_ratio,path_length,shortest_length,detour_cap,model_uncovered_length,uncovered_cap_if_required,reference_path_used
1->10,1,10,393,408,1.0,0.3416819,0.3416819,0.6583181,1.0,True,0.19235270016955747,0.8076472998304425,1477.149469674904,1301.787785453535,1562.1453425442419,250.402395579736,260.357557090707,False
1->11,1,11,393,409,2.0,0.41878538,0.83757076,1.16242924,1.0,True,0.19198107868685077,0.8080189213131492,1096.996445802484,927.5601596679469,1113.0721916015361,178.07399999999998,185.51203193358938,False
1->12,1,12,393,410,2.0,0.44297347,0.88594694,1.11405306,1.0,True,0.16977486801902153,0.8302251319809785,1221.361445802484,1048.883159667947,1258.6597916015364,178.07399999999998,209.7766319335894,False
1->13,1,13,393,412,8.0,0.35319718,2.82557744,5.17442256,0.0,False,1.0,0.0,869.865939926328,798.912159667947,958.6945916015363,0.0,159.7824319335894,True
1->14,1,14,393,414,1.0,0.47531495,0.47531495,0.52468505,0.0,False,1.0,0.0,898.215159667947,898.215159667947,1077.8581916015364,0.0,179.6430319335894,True
1->2,1,2,393,394,5.0,0.37868507,1.89342535,3.10657465,0.0,False,1.0,0.0,1197.972578826633,1094.030735611676,1312.8368827340112,0.0,218.8061471223352,True
1->3,1,3,393,395,5.0,0.55999514,2.7999756999999996,2.2000243000000004,1.0,True,0.19809121630233964,0.8019087836976604,277.639771346845,277.639771346845,333.167725616214,54.998,55.527954269369005,False
1->4,1,4,393,396,5.0,0.56582048,2.8291024,2.1708976,1.0,True,0.09660031965241131,0.9033996803475887,575.739445802484,569.335590170867,683.2027082050404,54.998,113.86711803417342,False
1->5,1,5,393,397,11.0,0.44430004,4.88730044,6.11269956,1.0,True,0.15303481807427277,0.8469651819257272,937.181489988725,930.777634357108,1116.9331612285296,142.441385941442,186.1555268714216,False
1->6,1,6,393,398,7.0,0.51738572,3.6217000400000003,3.3782999599999997,1.0,True,0.11162955401165718,0.8883704459883428,1410.9623692230732,1355.3041695768218,1626.3650034921861,151.292,271.06083391536436,False
1->7,1,7,393,399,8.0,0.45490413,3.63923304,4.360766959999999,1.0,True,0.17155225182121486,0.8284477481787851,1765.848941127438,1759.4450854958209,2111.334102594985,301.836766372578,351.8890170991642,False
1->8,1,8,393,401,5.0,0.47266368,2.3633184,2.6366816,1.0,True,0.13026471048541027,0.8697352895145898,1914.173359178958,1729.7570559746391,2075.708467169567,225.326302106632,345.95141119492786,False
10->1,10,1,408,393,1.0,0.30965113,0.30965113,0.69034887,1.0,True,0.19235270016955747,0.8076472998304425,1477.149469674904,1301.787785453535,1562.1453425442419,250.402395579736,260.357557090707,False
10->11,10,11,408,409,2.0,0.21141799,0.42283598,1.57716402,1.0,True,0.0,1.0,376.40970491328903,376.40970491328903,451.6916458959468,0.0,75.28194098265782,False
10->12,10,12,408,410,4.0,0.32152848,1.28611392,2.71388608,1.0,True,0.0,1.0,750.1647049132889,740.0743205859859,888.089184703183,0.0,148.0148641171972,False
10->13,10,13,408,412,5.0,0.14377317,0.71886585,4.28113415,1.0,True,0.0,1.0,749.469704913289,740.069320585986,888.0831847031832,0.0,148.01386411719722,False
10->14,10,14,408,414,2.0,0.23408145,0.4681629,1.5318371,0.0,False,1.0,0.0,1343.655704913289,1333.565320585986,1600.278384703183,0.0,266.71306411719723,True
10->2,10,2,408,394,1.0,0.22303953,0.22303953,0.77696047,1.0,True,0.1999592946887056,0.8000407053112943,1989.3068250166068,1915.6412758109109,2298.769530973093,383.0502783877219,383.1282551621822,False
10->3,10,3,408,395,3.0,0.40366949,1.2110084700000001,1.78899153,1.0,True,0.11485098937481787,0.8851490106251821,1195.766379368928,1071.614625785588,1285.9375509427057,123.076,214.32292515711762,False
10->4,10,4,408,396,1.0,0.36500277,0.36500277,0.63499723,1.0,True,0.16342571381512846,0.8365742861848715,1026.294704913289,905.365481024463,1086.4385772293556,147.96,181.0730962048926,False
10->5,10,5,408,397,6.0,0.28512839,1.71077034,4.28922966,1.0,True,0.1999396514234775,0.8000603485765225,539.967979686179,539.967979686179,647.9615756234148,107.961009638294,107.9935959372358,False
10->6,10,6,408,398,1.0,0.35332239,0.35332239,0.64667761,1.0,True,0.19730193282415956,0.8026980671758405,1691.882947293009,1478.4365839928437,1774.1239007914123,291.698395579736,295.68731679856876,False
10->7,10,7,408,399,9.0,0.2617252,2.3555268,6.6444732,1.0,True,0.14753341304263184,0.8524665869573682,1288.031843856043,1285.993430824892,1543.1921169898703,189.72699999999998,257.19868616497837,False
10->8,10,8,408,401,4.0,0.30154403,1.20617612,2.7938238799999997,1.0,True,0.10720466767794669,0.8927953323220533,440.767208463185,440.767208463185,528.9206501558219,47.252302106632,88.153441692637,False
10->9,10,9,408,407,1.0,0.18170136,0.18170136,0.81829864,1.0,True,0.15532506777940785,0.8446749322205922,406.87822672240003,377.601151540438,453.12138184852563,58.650924456601,75.5202303080876,False
