numeric_u,numeric_v,original_u,original_v
1,926,392,919
2,421,393,402
2,626,393,611
3,58,394,27
4,82,395,52
5,74,396,44
5,1261,396,1261
6,90,397,61
6,365,397,345
7,1097,398,1094
8,805,399,794
9,605,401,589
9,634,401,620
10,227,402,201
10,231,402,206
10,232,402,207
11,1025,403,1019
11,1027,403,1021
12,738,404,726
13,535,405,517
14,47,406,16
15,948,407,941
15,952,407,945
15,1085,407,1081
16,122,408,96
16,553,408,537
16,554,408,538
16,953,408,946
17,99,409,70
17,325,409,303
17,328,409,306
18,680,410,667
18,1202,410,1201
19,101,412,73
19,105,412,78
19,680,412,667
20,108,413,82
20,286,413,263
21,262,414,238
21,406,414,387
22,257,415,233
22,1059,415,1054
23,352,416,331
24,899,417,890
25,727,418,715
26,316,419,294
26,630,419,615
27,652,420,639
28,466,421,448
29,1251,423,1251
41,42,10,11
41,44,10,13
42,699,11,686
44,742,13,730
44,852,13,843
45,46,14,15
45,47,14,16
45,958,14,952
46,240,15,215
46,244,15,219
47,594,16,578
47,956,16,950
48,50,17,19
48,51,17,20
48,961,17,955
50,237,19,212
50,963,19,957
51,958,20,952
52,594,21,578
52,934,21,927
54,56,23,25
54,57,23,26
56,581,25,565
57,58,26,27
57,59,26,28
59,390,28,371
66,69,36,39
66,1137,36,1135
69,388,39,369
75,76,45,46
75,77,45,47
75,82,45,52
76,96,46,67
77,80,47,50
77,1261,47,1261
78,80,48,50
78,328,48,306
78,338,48,317
80,81,50,51
81,89,51,60
82,1167,52,1165
83,84,54,55
83,422,54,403
84,1167,55,1165
85,1204,56,1203
89,90,60,61
89,91,60,62
91,357,62,337
91,358,62,338
91,1002,62,996
93,402,64,383
93,1204,64,1203
99,100,70,71
99,101,70,73
99,1202,70,1201
100,102,71,74
102,355,74,335
103,948,75,941
103,1202,75,1201
105,106,78,80
105,107,78,81
107,108,81,82
107,109,81,83
107,1109,81,1106
109,806,83,796
111,113,85,87
111,114,85,88
111,716,85,703
113,301,87,279
114,258,88,234
122,124,96,98
124,125,98,99
129,131,103,105
129,133,103,107
131,803,105,792
133,821,107,811
144,767,118,755
152,154,126,128
152,155,126,129
152,768,126,756
154,699,128,686
158,768,132,756
158,954,132,947
161,162,135,136
161,163,135,137
161,165,135,139
162,534,136,516
162,864,136,855
163,345,137,324
164,373,138,354
165,864,139,855
181,182,155,156
181,183,155,157
182,1141,156,1139
183,865,157,856
189,1020,163,1014
198,221,172,195
198,659,172,646
199,201,173,175
201,220,175,194
202,926,176,919
203,204,177,178
203,206,177,180
204,222,178,196
220,221,194,195
220,222,194,196
227,229,201,204
227,230,201,205
229,233,204,208
230,555,205,539
231,342,206,321
232,760,207,748
234,237,209,212
236,760,211,748
236,965,211,959
237,238,212,213
238,243,213,218
239,964,214,958
242,952,217,945
242,961,217,955
243,442,218,424
245,246,220,221
245,254,220,230
246,600,221,584
246,602,221,586
246,1117,221,1114
251,1062,226,1057
254,255,230,231
254,256,230,232
254,257,230,233
255,259,231,235
256,261,232,237
258,259,234,235
261,262,237,238
281,282,258,259
281,333,258,311
281,1251,258,1251
282,718,259,705
284,718,261,705
284,1227,261,1226
285,286,262,263
285,482,262,464
285,1227,262,1226
287,404,264,385
287,482,264,464
287,586,264,570
288,289,266,267
288,290,266,268
289,488,267,470
292,293,270,271
292,294,270,272
292,295,270,273
293,313,271,291
294,727,272,715
295,299,273,277
297,299,275,277
302,489,280,471
303,304,281,282
303,305,281,283
303,307,281,285
304,466,282,448
305,1180,283,1178
307,1104,285,1101
309,311,287,289
309,312,287,290
311,634,289,620
312,1073,290,1069
313,314,291,292
313,315,291,293
314,316,292,294
314,317,292,295
317,485,295,467
317,488,295,470
325,330,303,308
329,553,307,537
333,1229,311,1228
339,341,318,320
339,342,318,321
341,1026,320,1020
344,345,323,324
351,595,330,579
351,662,330,649
352,353,331,332
353,522,332,504
357,367,337,348
358,370,338,351
366,1002,346,996
370,372,351,353
372,996,353,990
373,376,354,357
376,397,357,378
376,767,357,755
388,390,369,371
397,738,378,726
400,402,381,383
400,806,381,796
402,424,383,406
403,423,384,405
403,589,384,573
403,590,384,574
406,586,387,570
421,424,402,406
423,870,405,861
442,952,424,945
461,463,443,445
461,554,443,538
463,951,445,944
464,466,446,448
464,467,446,449
466,718,448,705
480,481,462,463
480,482,462,464
483,485,465,467
534,535,516,517
581,584,565,568
584,659,568,646
586,1106,570,1103
586,1109,570,1106
589,1229,573,1228
594,595,578,579
602,764,586,752
605,607,589,591
608,610,593,595
608,611,593,596
610,639,595,625
611,630,596,615
616,1104,601,1101
617,1180,602,1178
626,643,611,629
639,641,625,627
641,865,627,856
652,1141,639,1139
653,654,640,641
653,1020,640,1014
654,767,641,755
664,680,651,667
664,1256,651,1256
680,1108,667,1105
682,1073,669,1069
708,884,695,875
716,717,703,704
717,901,704,892
734,996,722,990
803,805,792,794
862,863,853,854
863,884,854,875
899,901,890,892
1059,1117,1054,1114
1085,1258,1081,1258
1097,1137,1094,1135
1256,1257,1256,1257
