od,origin,destination,original_origin,original_destination,demand,pi_w,protected_demand,unprotected_demand,z_value,covered,u_w,service_capacity_ratio,path_length,shortest_length,detour_cap,model_uncovered_length,uncovered_cap_if_required,reference_path_used
1->14,1,14,392,406,3.0,0.85,2.55,0.45000000000000007,0.0,False,1.0,0.0,2465.8112727303333,2265.516877593976,2718.620253112771,1230.6960484629412,453.10337551879525,True
1->15,1,15,392,407,2.0,0.85,1.7,0.30000000000000004,0.0,False,1.0,0.0,2082.832898141219,1954.721992141428,2345.6663905697137,707.0165909758571,390.94439842828564,True
1->16,1,16,392,408,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,0.0,1836.1949138178338,1828.267624468033,2193.9211493616394,901.3269975880049,365.65352489360663,True
1->17,1,17,392,409,2.0,0.85,1.7,0.30000000000000004,0.0,False,1.0,0.0,1496.8937106286878,1455.26214344357,1746.314572132284,653.0649568269517,291.05242868871403,True
1->18,1,18,392,410,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,0.0,1578.701208904545,1578.701208904545,1894.441450685454,707.924912262152,315.740241780909,True
1->19,1,19,392,412,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,0.0,1328.730208904545,1328.730208904545,1594.4762506854538,707.9249122621519,265.746041780909,True
1->2,1,2,392,393,2.0,0.85,1.7,0.30000000000000004,0.0,False,1.0,0.0,578.079082254146,529.818049236598,635.7816590839176,180.70796473693707,105.9636098473196,True
1->20,1,20,392,413,1.0,0.85,0.85,0.15000000000000002,1.0,True,0.17165797449145825,0.8283420255085417,1181.9000346844198,1061.69118002923,1274.029416035076,182.2477574992638,212.33823600584603,False
1->24,1,24,392,417,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,0.0,2250.2647665554287,2032.375680183543,2438.8508162202515,562.6169720491516,406.4751360367086,True
1->26,1,26,392,419,2.0,0.85,1.7,0.30000000000000004,1.0,True,0.17315769442999676,0.8268423055700033,2002.330973488463,1730.0705855462556,2076.0847026555066,299.5750337943441,346.0141171092512,False
1->28,1,28,392,421,2.0,0.85,1.7,0.30000000000000004,0.0,False,1.0,0.0,1342.818531576168,1257.1445213119498,1508.5734255743398,887.8206167145729,251.42890426238998,True
1->29,1,29,392,423,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,0.0,1013.905,1013.905,1216.686,839.3009999999999,202.781,True
1->3,1,3,392,394,8.0,0.85,6.8,1.2000000000000002,1.0,True,0.061529297421688715,0.9384707025783113,957.315385892906,909.4529329092419,1091.3435194910903,55.957999999999856,181.8905865818484,False
1->4,1,4,392,395,3.0,0.85,2.55,0.45000000000000007,0.0,False,1.0,0.0,824.2756463633181,762.944912262152,915.5338947145824,459.8875288461091,152.5889824524304,True
1->5,1,5,392,396,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,0.0,1107.098178691521,934.76214344357,1121.714572132284,710.841178691521,186.952428688714,True
1->6,1,6,392,397,4.0,0.85,3.4,0.6000000000000001,0.0,False,1.0,0.0,1413.4789598186778,1296.204187629811,1555.4450251557732,1031.553593334473,259.2408375259622,True
1->7,1,7,392,398,3.0,0.85,2.55,0.45000000000000007,0.0,False,1.0,0.0,1289.4488208016157,1289.4488208016157,1547.3385849619387,401.8078516769126,257.8897641603232,True
1->8,1,8,392,399,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,0.0,2484.8315073261547,2124.8716387685236,2549.845966522228,953.8556605479828,424.97432775370476,True
1->9,1,9,392,401,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,0.0,2235.8443638059935,2235.8443638059935,2683.013236567192,998.3493393987817,447.1688727611987,True
10->11,10,11,402,403,35.0,0.15,5.25,29.75,1.0,True,0.14855023082380156,0.8514497691761984,572.298,572.298,686.7576,85.01499999999999,114.45960000000001,False
10->12,10,12,402,404,23.0,0.15,3.4499999999999997,19.55,1.0,True,0.11886987246026531,0.8811301275397347,1065.0748518274672,1060.0919929658592,1272.1103915590309,126.01300000000015,212.01839859317184,False
