numeric_u,numeric_v,original_u,original_v
1,293,393,914
2,22,394,27
3,42,395,52
4,34,396,44
5,50,397,61
5,127,397,345
6,276,398,835
6,338,398,1094
7,259,399,794
9,307,407,941
9,377,407,1200
10,191,408,537
10,311,408,946
12,228,410,667
12,378,410,1201
13,64,412,77
13,228,412,667
17,32,2,42
17,50,2,61
21,22,26,27
21,23,26,28
26,27,36,37
26,29,36,39
26,357,36,1135
29,141,39,369
31,194,41,542
33,173,43,488
34,125,44,343
42,52,52,63
46,126,57,344
51,124,62,338
51,325,62,996
63,378,75,1201
64,153,77,390
78,82,103,107
80,257,105,792
82,272,107,811
105,224,253,637
105,239,253,687
113,118,303,308
117,118,307,308
117,191,307,537
121,122,335,336
121,377,335,1200
124,132,338,351
125,126,343,344
127,128,345,346
128,325,346,996
132,134,351,353
134,323,353,990
152,211,387,571
173,175,488,490
176,179,496,499
176,180,496,500
179,276,499,835
184,189,508,531
194,196,542,544
211,226,571,650
216,295,610,916
216,369,610,1166
226,347,650,1105
228,347,667,1105
247,281,720,896
247,331,720,1066
249,251,722,724
249,323,722,990
257,259,792,794
259,281,794,896
293,295,914,916
338,357,1094,1135
369,370,1166,1167
