od,origin,destination,original_origin,original_destination,demand,pi_w,protected_demand,unprotected_demand,z_value,covered,u_w,service_capacity_ratio,path_length,shortest_length,detour_cap,model_uncovered_length,uncovered_cap_if_required,reference_path_used
1->10,1,10,393,408,1.0,0.15,0.15,0.85,1.0,True,0.16507759744045494,0.8349224025595451,1477.149469674904,1301.787785453535,1562.1453425442419,214.896,260.357557090707,False
1->11,1,11,393,409,2.0,0.15,0.3,1.7,0.0,False,1.0,0.0,997.8669399263279,927.5601596679469,1113.0721916015361,0.0,185.51203193358938,True
1->12,1,12,393,410,2.0,0.15,0.3,1.7,1.0,True,0.14481936376017202,0.855180636239828,1121.209939926328,1048.883159667947,1258.6597916015364,151.898591841871,209.7766319335894,False
1->13,1,13,393,412,8.0,0.85,6.8,1.2000000000000002,1.0,True,0.19013178107716477,0.8098682189228352,871.2389399263278,798.912159667947,958.6945916015363,151.898591841871,159.7824319335894,False
1->14,1,14,393,414,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,0.0,898.215159667947,898.215159667947,1077.8581916015364,0.0,179.6430319335894,True
1->2,1,2,393,394,5.0,0.85,4.25,0.7500000000000001,0.0,False,1.0,0.0,1197.972578826633,1094.030735611676,1312.8368827340112,0.0,218.8061471223352,True
1->3,1,3,393,395,5.0,0.15,0.75,4.25,1.0,True,0.19809121630233964,0.8019087836976604,277.639771346845,277.639771346845,333.167725616214,54.998,55.527954269369005,False
1->4,1,4,393,396,5.0,0.15,0.75,4.25,1.0,True,0.18546706340334315,0.8145329365966568,575.739445802484,569.335590170867,683.2027082050404,105.59299999999999,113.86711803417342,False
1->5,1,5,393,397,11.0,0.15,1.65,9.35,1.0,True,0.18311570208465916,0.8168842979153408,937.181489988725,930.777634357108,1116.9331612285296,170.44,186.1555268714216,False
1->6,1,6,393,398,7.0,0.15,1.05,5.95,1.0,True,0.19912574938162012,0.8008742506183799,1410.9623692230732,1355.3041695768218,1626.3650034921861,269.87595840701897,271.06083391536436,False
1->7,1,7,393,399,8.0,0.15,1.2,6.8,1.0,True,0.19072683514070893,0.809273164859291,1765.848941127438,1759.4450854958209,2111.334102594985,335.57339276049197,351.8890170991642,False
1->8,1,8,393,401,5.0,0.15,0.75,4.25,0.0,False,1.0,0.0,1917.9166781380889,1729.7570559746391,2075.708467169567,0.0,345.95141119492786,True
10->1,10,1,408,393,1.0,0.15,0.15,0.85,0.0,False,1.0,0.0,1477.149469674904,1301.787785453535,1562.1453425442419,0.0,260.357557090707,True
10->11,10,11,408,409,2.0,0.15,0.3,1.7,0.0,False,1.0,0.0,376.40970491328903,376.40970491328903,451.6916458959468,0.0,75.28194098265782,True
10->12,10,12,408,410,4.0,0.15,0.6,3.4,1.0,True,0.1707151848703037,0.8292848151296963,785.9560754202581,740.0743205859859,888.089184703183,126.34192445660099,148.0148641171972,False
10->13,10,13,408,412,5.0,0.15,0.75,4.25,0.0,False,1.0,0.0,749.299704913289,740.069320585986,888.0831847031832,0.0,148.01386411719722,True
10->14,10,14,408,414,2.0,0.85,1.7,0.30000000000000004,1.0,True,0.16144310378587048,0.8385568962141295,1379.4470754202582,1333.565320585986,1600.278384703183,215.294924456601,266.71306411719723,False
10->2,10,2,408,394,1.0,0.15,0.15,0.85,1.0,True,0.14003611312533565,0.8599638868746644,1989.3068250166068,1915.6412758109109,2298.769530973093,268.258958407019,383.1282551621822,False
10->3,10,3,408,395,3.0,0.15,0.44999999999999996,2.55,1.0,True,0.14921222252148775,0.8507877774785122,1199.509698328059,1071.614625785588,1285.9375509427057,159.898,214.32292515711762,False
10->4,10,4,408,396,1.0,0.15,0.15,0.85,1.0,True,0.12072803999145029,0.8792719600085497,986.3540238724199,905.365481024463,1086.4385772293556,109.303,181.0730962048926,False
10->5,10,5,408,397,6.0,0.15,0.8999999999999999,5.1,1.0,True,0.08233080788575119,0.9176691921142488,539.967979686179,539.967979686179,647.9615756234148,44.456,107.9935959372358,False
10->6,10,6,408,398,1.0,0.15,0.15,0.85,1.0,True,0.17636161227907973,0.8236383877209202,1705.007527444502,1478.4365839928437,1774.1239007914123,260.739459605353,295.68731679856876,False
10->7,10,7,408,399,9.0,0.15,1.3499999999999999,7.6499999999999995,1.0,True,0.1629785873992002,0.8370214126007998,1285.993430824892,1285.993430824892,1543.1921169898703,209.589392760492,257.19868616497837,False
10->8,10,8,408,401,4.0,0.15,0.6,3.4,0.0,False,1.0,0.0,440.767208463185,440.767208463185,528.9206501558219,0.0,88.153441692637,True
10->9,10,9,408,407,1.0,0.15,0.15,0.85,1.0,True,0.15532506777940785,0.8446749322205922,406.87822672240003,377.601151540438,453.12138184852563,58.650924456601,75.5202303080876,False
11->1,11,1,409,393,3.0,0.15,0.44999999999999996,2.55,0.0,False,1.0,0.0,997.8669399263282,927.560159667947,1113.0721916015364,0.0,185.5120319335894,True
11->10,11,10,409,408,4.0,0.15,0.6,3.4,0.0,False,1.0,0.0,376.409704913289,376.409704913289,451.69164589594675,0.0,75.2819409826578,True
11->12,11,12,409,410,4.0,0.15,0.6,3.4,0.0,False,1.0,0.0,372.75199999999995,372.75199999999995,447.3023999999999,0.0,74.5504,True
11->13,11,13,409,412,10.0,0.15,1.5,8.5,0.0,False,1.0,0.0,372.89,372.2,446.64,0.0,74.44,True
11->14,11,14,409,414,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,0.0,966.2429999999999,966.2429999999999,1159.4915999999998,0.0,193.2486,True
11->2,11,2,409,394,2.0,0.15,0.3,1.7,0.0,False,1.0,0.0,1613.1608011441867,1579.5306343119837,1895.4367611743803,0.0,315.9061268623968,True
11->3,11,3,409,395,3.0,0.15,0.44999999999999996,2.55,0.0,False,1.0,0.0,720.2271685794831,697.3870000000002,836.8644000000002,0.0,139.47740000000005,True
11->4,11,4,409,396,5.0,0.85,4.25,0.7500000000000001,0.0,False,1.0,0.0,535.828,535.828,642.9935999999999,0.0,107.1656,True
11->5,11,5,409,397,9.0,0.15,1.3499999999999999,7.6499999999999995,1.0,True,0.19611548457772507,0.8038845154222749,916.3776845994681,834.793847882601,1001.7526174591211,163.716,166.9587695765202,False
11->6,11,6,409,398,4.0,0.15,0.6,3.4,0.0,False,1.0,0.0,1315.736923420589,1315.736923420589,1578.8843081047066,0.0,263.1473846841178,True
11->7,11,7,409,399,7.0,0.15,1.05,5.95,1.0,True,0.19833389521193254,0.8016661047880674,1662.403135738181,1658.059467894256,1989.671361473107,328.849392760492,331.6118935788512,False
11->8,11,8,409,401,2.0,0.15,0.3,1.7,0.0,False,1.0,0.0,817.176913376474,817.176913376474,980.6122960517687,0.0,163.43538267529482,True
11->9,11,9,409,407,1.0,0.15,0.15,0.85,0.0,False,1.0,0.0,534.8566924608169,501.199848697858,601.4398184374296,0.0,100.2399697395716,True
12->1,12,1,410,393,3.0,0.15,0.44999999999999996,2.55,1.0,True,0.14481936376017204,0.855180636239828,1121.209939926328,1048.8831596679468,1258.659791601536,151.898591841871,209.77663193358936,False
12->10,12,10,410,408,4.0,0.15,0.6,3.4,1.0,True,0.17071518487030368,0.8292848151296963,785.956075420258,740.074320585986,888.0891847031832,126.34192445660099,148.01486411719722,False
12->11,12,11,410,409,4.0,0.15,0.6,3.4,0.0,False,1.0,0.0,372.752,372.752,447.3024,0.0,74.55040000000001,True
12->13,12,13,410,412,13.0,0.15,1.95,11.049999999999999,1.0,True,0.0,1.0,249.971,249.971,299.9652,0.0,49.994200000000006,False
12->14,12,14,410,414,5.0,0.85,4.25,0.7500000000000001,1.0,True,0.1498809585992037,0.8501190414007963,593.491,593.491,712.1891999999999,88.953,118.6982,False
12->2,12,2,410,394,2.0,0.15,0.3,1.7,0.0,False,1.0,0.0,1763.9029760592707,1704.6526343119838,2045.5831611743804,0.0,340.9305268623968,True
12->3,12,3,410,395,4.0,0.15,0.6,3.4,1.0,True,0.11781098059944754,0.8821890194005525,843.5701685794829,822.509,987.0108,96.900591841871,164.5018,False
12->4,12,4,410,396,7.0,0.15,1.05,5.95,0.0,False,1.0,0.0,853.11,774.25,929.0999999999999,0.0,154.85000000000002,True
12->5,12,5,410,397,18.0,0.15,2.6999999999999997,15.299999999999999,1.0,True,0.14144218603052672,0.8585578139694733,1325.9240551064368,1207.545847882601,1449.0550174591212,170.79792445660098,241.5091695765202,False
12->6,12,6,410,398,6.0,0.15,0.8999999999999999,5.1,1.0,True,0.18668855273119653,0.8133114472688034,1976.8927664557111,1670.046425919881,2004.055711103857,311.77855024889,334.0092851839762,False
12->7,12,7,410,399,15.0,0.15,2.25,12.75,1.0,True,0.18630965540984643,0.8136903445901535,2331.7793383600756,2026.0677514108777,2431.281301693053,377.475984602363,405.21355028217556,False
12->8,12,8,410,401,3.0,0.15,0.44999999999999996,2.55,0.0,False,1.0,0.0,1226.723283883443,1074.1229439827641,1288.9475327793168,0.0,214.82458879655283,True
12->9,12,9,410,407,2.0,0.85,1.7,0.30000000000000004,1.0,True,0.17856754287416238,0.8214324571258376,379.07784869785803,379.07784869785803,454.8934184374296,67.691,75.81556973957161,False
13->1,13,1,412,393,6.0,0.85,5.1,0.9000000000000001,1.0,True,0.19013178107716475,0.8098682189228352,871.238939926328,798.9121596679471,958.6945916015364,151.898591841871,159.78243193358944,False
13->10,13,10,412,408,5.0,0.15,0.75,4.25,0.0,False,1.0,0.0,749.299704913289,740.069320585986,888.0831847031832,0.0,148.01386411719722,True
13->11,13,11,412,409,7.0,0.15,1.05,5.95,0.0,False,1.0,0.0,372.89,372.2,446.64,0.0,74.44,True
13->12,13,12,412,410,11.0,0.15,1.65,9.35,1.0,True,0.0,1.0,249.971,249.971,299.9652,0.0,49.994200000000006,False
13->14,13,14,412,414,12.0,0.85,10.2,1.8000000000000003,1.0,True,0.14971219873434766,0.8502878012656523,594.16,594.16,712.992,88.953,118.832,False
13->2,13,2,412,394,7.0,0.85,5.95,1.0500000000000003,0.0,False,1.0,0.0,1513.931976059271,1513.931976059271,1816.718371271125,0.0,302.7863952118542,True
13->3,13,3,412,395,8.0,0.85,6.8,1.2000000000000002,1.0,True,0.16324246557447125,0.8367575344255287,593.5991685794829,593.5991685794829,712.3190022953795,96.900591841871,118.71983371589658,False
13->4,13,4,412,396,7.0,0.15,1.05,5.95,1.0,True,0.1907143167269484,0.8092856832730516,891.698843035122,773.385,928.0619999999999,147.495591841871,154.67700000000002,False
13->5,13,5,412,397,13.0,0.15,1.95,11.049999999999999,1.0,True,0.17592682200856144,0.8240731779914385,1253.140887221363,1206.993847882601,1448.392617459121,212.342591841871,241.39876957652018,False
13->6,13,6,412,398,4.0,0.15,0.6,3.4,1.0,True,0.18678529811525416,0.8132147018847459,1726.9217664557111,1669.181425919881,2003.017711103857,311.77855024889,333.8362851839762,False
13->7,13,7,412,399,20.0,0.15,3.0,17.0,1.0,True,0.18631011519238594,0.8136898848076141,2081.8083383600756,2026.0627514108776,2431.275301693053,377.475984602363,405.2125502821755,False
13->8,13,8,412,401,4.0,0.15,0.6,3.4,0.0,False,1.0,0.0,1190.066913376474,1074.1179439827642,1288.941532779317,0.0,214.82358879655285,True
13->9,13,9,412,407,3.0,0.85,2.55,0.45000000000000007,1.0,True,0.10795550484093847,0.8920444951590616,629.0488486978579,627.026848697858,752.4322184374296,67.691,125.4053697395716,False
14->1,14,1,414,393,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,0.0,898.2151596679469,898.2151596679469,1077.8581916015362,0.0,179.64303193358938,True
14->10,14,10,414,408,1.0,0.85,0.85,0.15000000000000002,1.0,True,0.1614431037858705,0.8385568962141294,1379.447075420258,1333.5653205859858,1600.2783847031828,215.294924456601,266.7130641171972,False
14->11,14,11,414,409,2.0,0.85,1.7,0.30000000000000004,0.0,False,1.0,0.0,966.2429999999999,966.2429999999999,1159.4915999999998,0.0,193.2486,True
14->12,14,12,414,410,3.0,0.85,2.55,0.45000000000000007,1.0,True,0.1498809585992037,0.8501190414007963,593.491,593.491,712.1891999999999,88.953,118.6982,False
14->13,14,13,414,412,7.0,0.85,5.95,1.0500000000000003,1.0,True,0.14971219873434763,0.8502878012656524,594.1600000000001,594.1600000000001,712.9920000000001,88.953,118.83200000000002,False
14->2,14,2,414,394,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,0.0,2108.0919760592706,1992.1340863258165,2390.5609035909797,0.0,398.4268172651633,True
14->3,14,3,414,395,4.0,0.85,3.4,0.6000000000000001,1.0,True,0.15860426831540608,0.8413957316845939,1187.7591685794828,1171.8069999999998,1406.1683999999998,185.853591841871,234.36139999999997,False
14->4,14,4,414,396,1.0,0.85,0.85,0.15000000000000002,1.0,True,0.17353082609962547,0.8264691739003746,1485.8588430351217,1362.5739999999996,1635.0887999999995,236.448591841871,272.5147999999999,False
14->5,14,5,414,397,2.0,0.85,1.7,0.30000000000000004,1.0,True,0.16763326152089902,0.8323667384791009,1847.3008872213627,1797.3496972395787,2156.8196366874945,301.295591841871,359.46993944791575,False
14->6,14,6,414,398,1.0,0.85,0.85,0.15000000000000002,1.0,True,0.1778335905247831,0.8221664094752169,2321.081766455711,2253.407520290963,2704.0890243491554,400.73155024888996,450.6815040581926,False
14->7,14,7,414,399,6.0,0.85,5.1,0.9000000000000001,1.0,True,0.1780563174432134,0.8219436825567866,2675.968338360076,2619.5587514108774,3143.470501693053,466.42898460236296,523.9117502821755,False
14->9,14,9,414,407,2.0,0.85,1.7,0.30000000000000004,1.0,True,0.16106211936535472,0.8389378806346452,972.5688486978579,972.5688486978579,1167.0826184374293,156.644,194.5137697395716,False
2->1,2,1,394,393,8.0,0.85,6.8,1.2000000000000002,0.0,False,1.0,0.0,1230.8984555464122,1144.441642427242,1373.3299709126902,0.0,228.8883284854484,True
2->10,2,10,394,408,1.0,0.15,0.15,0.85,1.0,True,0.14003611312533562,0.8599638868746644,1989.3068250166068,1915.641275810911,2298.7695309730934,268.258958407019,383.12825516218226,False
2->11,2,11,394,409,2.0,0.15,0.3,1.7,0.0,False,1.0,0.0,1613.1608011441872,1579.5306343119837,1895.4367611743803,0.0,315.9061268623968,True
2->12,2,12,394,410,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,0.0,1796.8288527790503,1704.6526343119835,2045.5831611743802,0.0,340.93052686239673,True
2->13,2,13,394,412,4.0,0.85,3.4,0.6000000000000001,0.0,False,1.0,0.0,1546.8578527790503,1546.8578527790503,1856.2294233348603,0.0,309.3715705558101,True
2->14,2,14,394,414,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,0.0,2141.0178527790504,2042.5449931413827,2451.053991769659,0.0,408.5089986282766,True
2->3,2,3,394,395,12.0,0.85,10.2,1.8000000000000003,0.0,False,1.0,0.0,953.2586841995671,953.2586841995671,1143.9104210394805,0.0,190.65173683991344,True
2->4,2,4,394,396,3.0,0.15,0.44999999999999996,2.55,0.0,False,1.0,0.0,1217.590801144187,1059.030634311984,1270.8367611743806,0.0,211.8061268623968,True
2->5,2,5,394,397,21.0,0.15,3.15,17.849999999999998,1.0,True,0.16191105285782378,0.8380889471421762,1449.338845330428,1382.2586812744853,1658.7104175293823,223.802958407019,276.45173625489707,False
2->6,2,6,394,398,24.0,0.15,3.5999999999999996,20.4,1.0,True,0.19937769704470878,0.8006223029552912,623.775887892374,623.775887892374,748.5310654708488,124.36699999999999,124.75517757847481,False
2->7,2,7,394,399,12.0,0.85,10.2,1.8000000000000003,1.0,True,0.1987833124707046,0.8012166875292954,1654.0968313928433,1654.0968313928433,1984.916197671412,328.806847291566,330.8193662785687,False
