numeric_u,numeric_v,original_u,original_v
1,926,392,919
2,421,393,402
2,626,393,611
2,921,393,914
3,58,394,27
4,82,395,52
4,86,395,57
4,1169,395,1167
5,74,396,44
5,1261,396,1261
6,90,397,61
6,365,397,345
7,845,398,835
7,1097,398,1094
8,805,399,794
9,605,401,589
9,634,401,620
10,227,402,201
10,231,402,206
10,232,402,207
11,1025,403,1019
11,1027,403,1021
12,738,404,726
13,535,405,517
13,1191,405,1190
14,47,406,16
14,346,406,325
15,948,407,941
15,1085,407,1081
16,553,408,537
16,554,408,538
16,953,408,946
17,110,409,84
17,325,409,303
17,328,409,306
18,101,410,73
18,680,410,667
18,1202,410,1201
19,101,412,73
19,104,412,77
19,105,412,78
19,680,412,667
20,108,413,82
20,286,413,263
21,262,414,238
21,290,414,268
21,406,414,387
22,257,415,233
22,1059,415,1054
23,352,416,331
24,899,417,890
25,727,418,715
26,316,419,294
26,630,419,615
27,652,420,639
28,466,421,448
29,282,423,259
29,1251,423,1251
30,550,424,532
33,72,2,42
33,90,2,61
45,46,14,15
45,47,14,16
46,240,15,215
46,244,15,219
47,594,16,578
52,594,21,578
52,934,21,927
54,55,23,24
54,57,23,26
55,745,24,733
56,581,25,565
57,58,26,27
57,59,26,28
59,1173,28,1171
66,69,36,39
66,71,36,41
66,1137,36,1135
69,388,39,369
70,1170,40,1168
70,1172,40,1170
71,558,41,542
72,73,42,43
72,74,42,44
72,80,42,50
73,506,43,488
74,363,44,343
75,76,45,46
75,77,45,47
75,82,45,52
75,363,45,343
76,94,46,65
76,96,46,67
77,80,47,50
78,80,48,50
78,328,48,306
78,338,48,317
80,81,50,51
81,89,51,60
82,92,52,63
86,88,57,59
88,364,59,344
88,1144,59,1142
89,90,60,61
89,91,60,62
91,357,62,337
91,358,62,338
91,1002,62,996
92,93,63,64
92,96,63,67
92,549,63,531
93,402,64,383
93,1204,64,1203
94,95,65,66
95,110,66,84
97,371,68,352
99,100,70,71
99,101,70,73
100,102,71,74
100,103,71,75
100,325,71,303
101,110,73,84
102,355,74,335
102,948,74,941
103,934,75,927
103,948,75,941
103,1202,75,1201
104,110,77,84
104,409,77,390
105,107,78,81
106,1107,80,1104
107,108,81,82
107,109,81,83
107,1109,81,1106
109,806,83,796
111,113,85,87
111,114,85,88
111,716,85,703
113,301,87,279
114,258,88,234
123,461,97,443
129,130,103,104
129,131,103,105
129,133,103,107
130,683,104,670
131,721,105,708
131,803,105,792
133,821,107,811
144,767,118,755
156,947,130,940
157,349,131,328
157,427,131,409
161,162,135,136
161,163,135,137
161,164,135,138
161,165,135,139
162,534,136,516
162,862,136,853
163,345,137,324
164,373,138,354
181,182,155,156
181,183,155,157
182,1141,156,1139
183,865,157,856
188,189,162,163
188,569,162,553
189,1020,163,1014
189,1026,163,1020
199,200,173,174
199,201,173,175
199,202,173,176
200,1134,174,1132
201,220,175,194
202,926,176,919
209,435,183,417
209,933,183,926
211,1102,185,1099
212,624,186,609
212,917,186,910
213,922,187,915
220,223,194,197
223,225,197,199
225,226,199,200
227,230,201,205
230,555,205,539
231,342,206,321
240,1085,215,1081
242,244,217,219
242,952,217,945
245,254,220,230
246,600,221,584
246,601,221,585
246,1117,221,1114
254,255,230,231
254,256,230,232
254,257,230,233
255,259,231,235
256,261,232,237
258,259,234,235
261,262,237,238
261,724,237,711
276,651,253,637
276,700,253,687
281,283,258,260
282,718,259,705
283,796,260,784
284,285,261,262
284,718,261,705
285,286,262,263
286,287,263,264
287,404,264,385
287,482,264,464
287,586,264,570
288,289,266,267
288,290,266,268
289,317,267,295
289,488,267,470
292,293,270,271
292,294,270,272
292,295,270,273
294,727,272,715
295,302,273,280
300,904,278,895
303,304,281,282
303,307,281,285
304,466,282,448
307,1104,285,1101
309,311,287,289
309,312,287,290
311,634,289,620
312,1073,290,1069
313,314,291,292
313,315,291,293
314,316,292,294
314,317,292,295
315,488,293,470
325,326,303,304
325,330,303,308
329,330,307,308
334,335,312,313
334,337,312,316
335,718,313,705
336,337,314,316
336,617,314,602
339,341,318,320
339,342,318,321
341,1026,320,1020
344,345,323,324
344,346,323,325
344,350,323,329
344,1046,323,1041
346,750,325,738
349,350,328,329
352,353,331,332
353,360,332,340
353,702,332,689
355,462,335,444
357,367,337,348
358,370,338,351
359,360,339,340
359,362,339,342
362,394,342,375
363,364,343,344
365,366,345,346
365,970,345,964
366,1002,346,996
367,368,348,349
370,372,351,353
372,996,353,990
373,374,354,355
373,376,354,357
374,397,355,378
376,397,357,378
376,767,357,755
386,408,367,389
388,390,369,371
397,738,378,726
400,402,381,383
400,806,381,796
402,423,383,405
402,424,383,406
403,589,384,573
406,586,387,570
406,587,387,571
408,832,389,822
408,1192,389,1191
409,526,390,508
421,424,402,406
423,869,405,860
435,578,417,562
436,580,418,564
436,583,418,567
437,438,419,420
437,1144,419,1142
438,933,420,926
456,459,438,441
456,460,438,442
459,927,441,920
460,1134,442,1132
461,463,443,445
461,554,443,538
463,951,445,944
464,466,446,448
466,718,448,705
480,482,462,464
506,508,488,490
508,560,490,544
508,580,490,564
514,518,496,500
517,845,499,835
518,650,500,636
526,549,508,531
534,535,516,517
555,607,539,591
558,560,542,544
566,567,550,551
578,579,562,563
582,583,566,567
586,1109,570,1106
587,663,571,650
594,596,578,580
596,1046,580,1041
600,603,584,587
601,1117,585,1114
603,1257,587,1257
605,606,589,590
605,607,589,591
606,635,590,621
608,610,593,595
608,611,593,596
610,639,595,625
611,630,596,615
616,630,601,615
616,1104,601,1101
625,923,610,916
625,1168,610,1166
626,643,611,629
635,637,621,623
639,641,625,627
641,865,627,856
650,651,636,637
652,1141,639,1139
653,654,640,641
653,1020,640,1014
654,767,641,755
663,1108,650,1105
664,680,651,667
664,1256,651,1256
679,1059,666,1054
680,1108,667,1105
681,682,668,669
681,683,668,670
682,1073,669,1069
708,884,695,875
716,717,703,704
732,905,720,896
734,736,722,724
734,996,722,990
736,953,724,946
742,743,730,731
742,851,730,842
743,762,731,750
750,752,738,740
752,850,740,841
760,762,748,750
796,797,784,785
797,869,785,860
803,805,792,794
805,905,794,896
821,970,811,964
821,971,811,965
832,833,822,823
862,863,853,854
921,923,914,916
1002,1157,996,1155
1026,1027,1020,1021
1097,1137,1094,1135
1168,1169,1166,1167
1256,1257,1256,1257
