od,origin,destination,original_origin,original_destination,demand,pi_w,protected_demand,unprotected_demand,z_value,covered,u_w,path_length,shortest_length,detour_cap,model_uncovered_length,uncovered_cap_if_required
1->14,1,14,392,406,3.0,0.37898177,1.13694531,1.86305469,1.0,True,0.11247943135361686,2265.516877593976,2265.516877593976,2718.620253112771,254.82405011379205,453.10337551879525
1->15,1,15,392,407,2.0,0.43688532,0.87377064,1.12622936,1.0,True,0.1908430209582467,1954.721992141428,1954.721992141428,2345.6663905697137,373.0450501137923,390.94439842828564
1->16,1,16,392,408,1.0,0.51051601,0.51051601,0.48948399,1.0,True,0.1732785782192779,1828.267624468033,1828.267624468033,2193.9211493616394,316.79961457215745,365.65352489360663
1->17,1,17,392,409,2.0,0.44227883,0.88455766,1.11544234,1.0,True,0.1751567930645316,1455.26214344357,1455.26214344357,1746.314572132284,254.8990501137921,291.05242868871403
1->18,1,18,392,410,1.0,0.50871097,0.50871097,0.49128903,0.0,False,1.0,1636.7328253284159,1578.701208904545,1894.441450685454,0.0,315.740241780909
1->19,1,19,392,412,1.0,0.47921654,0.47921654,0.52078346,0.0,False,1.0,1380.1205123972472,1328.730208904545,1594.4762506854538,0.0,265.746041780909
1->2,1,2,392,393,2.0,0.45981818,0.91963636,1.0803636399999998,1.0,True,0.07756670504221139,543.704357868384,529.818049236598,635.7816590839176,41.09624035117503,105.9636098473196
1->20,1,20,392,413,1.0,0.46893949,0.46893949,0.53106051,1.0,True,0.03870828082987692,1178.9685175363309,1061.69118002923,1274.029416035076,41.096240351174856,212.33823600584603
1->24,1,24,392,417,1.0,0.53660787,0.53660787,0.46339213,0.0,False,1.0,2372.356110728934,2032.375680183543,2438.8508162202515,0.0,406.4751360367086
1->26,1,26,392,419,2.0,0.72270434,1.44540868,0.5545913200000001,0.0,False,1.0,2072.2232097458427,1730.0705855462556,2076.0847026555066,0.0,346.0141171092512
1->28,1,28,392,421,2.0,0.4566979,0.9133958,1.0866042,0.0,False,1.0,1508.4274970976558,1257.1445213119498,1508.5734255743398,0.0,251.42890426238998
1->29,1,29,392,423,1.0,0.537345,0.537345,0.46265500000000004,0.0,False,1.0,1013.905,1013.905,1216.686,0.0,202.781
1->3,1,3,392,394,8.0,0.49071069,3.92568552,4.07431448,1.0,True,0.1827703160715278,917.88310650713,909.4529329092419,1091.3435194910903,166.22100000000012,181.8905865818484
1->4,1,4,392,395,3.0,0.50406748,1.51220244,1.48779756,1.0,True,0.18071792507190018,778.6436496754371,762.944912262152,915.5338947145824,137.87782148817905,152.5889824524304
1->5,1,5,392,396,1.0,0.60153979,0.60153979,0.39846021,1.0,True,0.13821596330146135,934.76214344357,934.76214344357,1121.714572132284,129.19905011379183,186.952428688714
1->6,1,6,392,397,4.0,0.53765383,2.15061532,1.84938468,1.0,True,0.09967492108634556,1296.204187629811,1296.204187629811,1555.4450251557732,129.19905011379205,259.2408375259622
1->7,1,7,392,398,3.0,0.66039576,1.9811872799999999,1.0188127200000001,1.0,True,0.16547302735703318,1297.8789943995039,1289.4488208016157,1547.3385849619387,213.36899999999991,257.8897641603232
1->8,1,8,392,399,1.0,0.6292769,0.6292769,0.37072309999999997,1.0,True,0.06080322583093506,2124.8716387685236,2124.8716387685236,2549.845966522228,129.1990501137916,424.97432775370476
1->9,1,9,392,401,1.0,0.39506199,0.39506199,0.60493801,1.0,True,0.0856184813636736,2235.8443638059935,2235.8443638059935,2683.013236567192,191.4295989945981,447.1688727611987
10->11,10,11,402,403,35.0,0.24569016,8.5991556,26.4008444,1.0,True,0.0,572.298,572.298,686.7576,0.0,114.45960000000001
10->12,10,12,402,404,23.0,0.22045179,5.070391170000001,17.92960883,1.0,True,0.12496024406614814,1066.5353462540302,1060.0919929658592,1272.1103915590309,132.46935417358316,212.01839859317184
10->13,10,13,402,405,14.0,0.42060832,5.88851648,8.11148352,1.0,True,0.0,1408.7684784888982,1403.1169913161282,1683.7403895793539,0.0,280.6233982632256
10->14,10,14,402,406,18.0,0.12903768,2.3226782399999997,15.677321760000002,1.0,True,0.19064434978147565,647.5089646804561,647.5089646804561,777.0107576165473,123.44392554918204,129.50179293609122
10->15,10,15,402,407,3.0,0.25540113,0.7662033899999999,2.23379661,0.0,False,1.0,942.018936458912,850.2211831777349,1020.2654198132818,0.0,170.044236635547
10->16,10,16,402,408,4.0,0.23514626,0.94058504,3.05941496,0.0,False,1.0,941.8347519122981,918.144403038417,1101.7732836461003,0.0,183.6288806076834
10->17,10,17,402,409,1.0,0.24331398,0.24331398,0.75668602,0.0,False,1.0,1462.5863812410178,1294.5541079517059,1553.464929542047,0.0,258.9108215903412
10->18,10,18,402,410,4.0,0.32786046,1.31144184,2.68855816,1.0,True,0.11606865436939603,1427.0741385579963,1229.299031875593,1475.1588382507116,142.68308444740137,245.85980637511864
10->19,10,19,402,412,3.0,0.31413553,0.94240659,2.05759341,1.0,True,0.10003166801194767,1426.3791385579962,1426.3791385579962,1711.6549662695954,142.68308444740137,285.2758277115992
10->2,10,2,402,393,2.0,0.22282034,0.44564068,1.55435932,1.0,True,0.15077970844906333,2207.134250549871,2207.134250549871,2648.561100659845,332.79105880585143,441.4268501099742
10->20,10,20,402,413,5.0,0.22382062,1.1191031,3.8808968999999998,1.0,True,0.08094285688553783,1762.763138557996,1762.763138557996,2115.315766269595,142.68308444740137,352.5526277115992
10->21,10,21,402,414,2.0,0.27632836,0.55265672,1.4473432800000001,1.0,True,0.0954533887631365,1582.625064512358,1582.625064512358,1899.1500774148294,151.0669255491821,316.52501290247164
10->22,10,22,402,415,4.0,0.51669846,2.06679384,1.9332061600000001,1.0,True,0.1269692711262995,1189.791232233757,1189.791232233757,1427.7494786805084,151.06692554918186,237.95824644675142
10->23,10,23,402,416,1.0,0.26241823,0.26241823,0.73758177,1.0,True,0.1644863163203967,1910.4789255381688,1886.2684818670791,2263.5221782404947,310.26535417358286,377.25369637341583
10->25,10,25,402,418,1.0,0.30555363,0.30555363,0.69444637,1.0,True,0.10255529603726837,1994.689045359915,1994.689045359915,2393.626854431898,204.56592554918234,398.93780907198305
10->26,10,26,402,419,7.0,0.50107438,3.5075206600000004,3.4924793399999996,1.0,True,0.14979267490880122,2239.4470053990913,2239.4470053990913,2687.3364064789093,335.4527572552345,447.8894010798183
10->27,10,27,402,420,3.0,0.41405089,1.24215267,1.7578473300000002,1.0,True,0.08873295381112027,3517.4116274844846,3044.0533723149547,3652.8640467779455,270.10784728420776,608.810674462991
10->28,10,28,402,421,2.0,0.17683763,0.35367526,1.64632474,0.0,False,1.0,2390.242343448686,2221.977640278163,2666.3731683337955,0.0,444.39552805563267
10->3,10,3,402,394,2.0,0.24675781,0.49351562,1.50648438,0.0,False,1.0,3013.160313395739,2799.429549767183,3359.3154597206194,0.0,559.8859099534366
10->4,10,4,402,395,2.0,0.28211048,0.56422096,1.43577904,1.0,True,0.03180430817869196,1956.670414937656,1956.670414937656,2348.004497925187,62.23054888080628,391.33408298753125
10->5,10,5,402,396,3.0,0.28974923,0.8692476900000001,2.13075231,1.0,True,0.0542610151408033,1790.3194149376561,1790.3194149376561,2148.3832979251874,97.14454888080627,358.06388298753126
10->6,10,6,402,397,7.0,0.23045765,1.61320355,5.38679645,1.0,True,0.04373121630567342,1423.0235090152898,1423.0235090152898,1707.6282108183477,62.230548880806055,284.604701803058
10->7,10,7,402,398,3.0,0.43319393,1.29958179,1.7004182099999998,0.0,False,1.0,2223.102843356902,2223.102843356902,2667.7234120282824,0.0,444.62056867138045
10->8,10,8,402,399,35.0,0.39580316,13.853110599999999,21.1468894,1.0,True,2.727578711760473e-16,1667.2199006603719,1667.2199006603719,2000.6638807924462,4.547473508864641e-13,333.4439801320744
10->9,10,9,402,401,8.0,0.18605352,1.48842816,6.51157184,1.0,True,0.0,477.37719457523195,477.37719457523195,572.8526334902783,0.0,95.4754389150464
11->10,11,10,403,402,37.0,0.25451902,9.41720374,27.58279626,1.0,True,0.0,572.298,572.298,686.7576,0.0,114.45960000000001
11->12,11,12,403,404,39.0,0.2585493,10.0834227,28.9165773,1.0,True,0.11342833516468329,636.304851827467,636.304851827467,763.5658221929604,72.17500000000007,127.2609703654934
11->13,11,13,403,405,23.0,0.42798114,9.84356622,13.15643378,1.0,True,0.0,1109.7684784888982,979.998478488898,1175.9981741866775,0.0,195.9996956977796
11->14,11,14,403,406,24.0,0.17627792,4.23067008,19.76932992,1.0,True,0.12722081963297646,1388.301164090058,1216.3398028868721,1459.6077634642465,154.7437466754809,243.26796057737442
11->15,11,15,403,407,2.0,0.17515333,0.35030666,1.64969334,1.0,True,0.19928859063379184,1636.2089695124478,1419.31319311995,1703.17583174394,282.85292592482165,283.86263862399
11->16,11,16,403,408,3.0,0.2405061,0.7215183000000001,2.2784817000000004,0.0,False,1.0,1490.442403038417,1490.442403038417,1788.5308836461004,0.0,298.08848060768344
11->17,11,17,403,409,3.0,0.25724256,0.77172768,2.22827232,1.0,True,0.17217271718039837,2045.145090737588,1866.852107951706,2240.222529542047,321.4209999999996,373.37042159034127
11->18,11,18,403,410,4.0,0.24041459,0.96165836,3.03834164,1.0,True,0.079339298923096,1999.3721385579959,1798.3910418178082,2158.0692501813696,142.68308444740114,359.6782083635617
11->19,11,19,403,412,3.0,0.24486646,0.73459938,2.26540062,1.0,True,0.07138876094332275,1998.677138557996,1998.677138557996,2398.412566269595,142.68308444740114,399.7354277115992
11->2,11,2,403,393,3.0,0.20017171,0.60051513,2.39948487,1.0,True,0.11519906626134005,2968.288250405535,2779.4322505498712,3335.3187006598455,320.1880000000001,555.8864501099742
11->20,11,20,403,413,5.0,0.268428,1.34214,3.65786,1.0,True,0.06110464608027983,2335.061138557996,2335.061138557996,2802.073366269595,142.6830844474016,467.0122277115992
11->21,11,21,403,414,3.0,0.3382996,1.0148987999999999,1.9851012,1.0,True,0.15143464428747677,2151.455902718774,2151.455902718774,2581.7470832625286,325.8049593284097,430.29118054375476
