numeric_u,numeric_v,original_u,original_v
1,293,393,914
2,22,394,27
3,42,395,52
3,46,395,57
3,370,395,1167
4,34,396,44
4,400,396,1261
5,50,397,61
5,127,397,345
6,338,398,1094
7,259,399,794
8,218,401,620
9,377,407,1200
10,71,408,96
10,192,408,538
10,311,408,946
11,59,409,70
11,116,409,306
12,61,410,73
13,61,412,73
13,64,412,77
13,65,412,78
14,152,414,387
17,32,2,42
17,50,2,61
21,22,26,27
21,23,26,28
23,143,28,371
26,27,36,37
26,29,36,39
26,357,36,1135
27,31,37,41
29,141,39,369
31,194,41,542
32,33,42,43
32,34,42,44
33,173,43,488
34,125,44,343
37,40,47,50
37,400,47,1261
38,40,48,50
38,116,48,306
42,52,52,63
46,126,57,344
51,124,62,338
51,325,62,996
52,189,63,531
59,60,70,71
59,61,70,73
60,62,71,74
66,346,80,1104
71,73,96,98
73,74,98,99
74,218,99,620
78,80,103,105
78,82,103,107
80,257,105,792
82,272,107,811
105,224,253,637
105,239,253,687
121,377,335,1200
124,132,338,351
125,126,343,344
127,128,345,346
127,315,345,964
128,325,346,996
132,134,351,353
134,323,353,990
141,143,369,371
152,210,387,570
153,184,390,508
164,324,444,991
173,175,488,490
175,196,490,544
176,179,496,499
176,180,496,500
179,276,499,835
180,223,500,636
184,189,508,531
192,324,538,991
194,196,542,544
210,348,570,1106
216,295,610,916
216,369,610,1166
223,224,636,637
229,230,668,669
229,231,668,670
230,232,669,673
239,331,687,1066
247,281,720,896
247,331,720,1066
249,251,722,724
249,323,722,990
251,311,724,946
257,259,792,794
259,281,794,896
272,315,811,964
293,295,914,916
338,357,1094,1135
369,370,1166,1167
