od,origin,destination,original_origin,original_destination,demand,pi_w,protected_demand,unprotected_demand,z_value,covered,u_w,path_length,shortest_length,detour_cap,model_uncovered_length,uncovered_cap_if_required
1->10,1,10,393,408,1.0,0.3416819,0.3416819,0.6583181,1.0,True,0.0,1477.149469674904,1301.787785453535,1562.1453425442419,0.0,260.357557090707
1->11,1,11,393,409,2.0,0.41878538,0.83757076,1.16242924,1.0,True,0.0,1111.5674458024841,927.5601596679469,1113.0721916015361,0.0,185.51203193358938
1->12,1,12,393,410,2.0,0.44297347,0.88594694,1.11405306,1.0,True,0.09136820994242208,1123.7319399263279,1048.883159667947,1258.6597916015364,95.834576737612,209.7766319335894
1->13,1,13,393,412,8.0,0.35319718,2.82557744,5.17442256,1.0,True,0.11995633759967286,871.2389399263278,798.912159667947,958.6945916015363,95.834576737612,159.7824319335894
1->14,1,14,393,414,1.0,0.47531495,0.47531495,0.52468505,0.0,False,1.0,898.215159667947,898.215159667947,1077.8581916015364,0.0,179.6430319335894
1->2,1,2,393,394,5.0,0.37868507,1.89342535,3.10657465,0.0,False,1.0,1197.972578826633,1094.030735611676,1312.8368827340112,0.0,218.8061471223352
1->3,1,3,393,395,5.0,0.55999514,2.7999756999999996,2.2000243000000004,1.0,True,0.0,277.639771346845,277.639771346845,333.167725616214,0.0,55.527954269369005
1->4,1,4,393,396,5.0,0.56582048,2.8291024,2.1708976,1.0,True,0.0,575.739445802484,569.335590170867,683.2027082050404,0.0,113.86711803417342
1->5,1,5,393,397,11.0,0.44430004,4.88730044,6.11269956,1.0,True,0.0,937.181489988725,930.777634357108,1116.9331612285296,0.0,186.1555268714216
1->6,1,6,393,398,7.0,0.51738572,3.6217000400000003,3.3782999599999997,1.0,True,0.0,1410.9623692230732,1355.3041695768218,1626.3650034921861,0.0,271.06083391536436
1->7,1,7,393,399,8.0,0.45490413,3.63923304,4.360766959999999,1.0,True,0.0,1765.848941127438,1759.4450854958209,2111.334102594985,0.0,351.8890170991642
1->8,1,8,393,401,5.0,0.47266368,2.3633184,2.6366816,1.0,True,0.0,1917.9166781380889,1729.7570559746391,2075.708467169567,0.0,345.95141119492786
10->1,10,1,408,393,1.0,0.30965113,0.30965113,0.69034887,1.0,True,0.0,1477.149469674904,1301.787785453535,1562.1453425442419,0.0,260.357557090707
10->11,10,11,408,409,2.0,0.21141799,0.42283598,1.57716402,0.0,False,1.0,376.40970491328903,376.40970491328903,451.6916458959468,0.0,75.28194098265782
10->12,10,12,408,410,4.0,0.32152848,1.28611392,2.71388608,1.0,True,0.17816393168747088,740.7643205859861,740.0743205859859,888.089184703183,131.854550696533,148.0148641171972
10->13,10,13,408,412,5.0,0.14377317,0.71886585,4.28113415,1.0,True,0.17816513538506196,740.069320585986,740.069320585986,888.0831847031832,131.854550696533,148.01386411719722
10->14,10,14,408,414,2.0,0.23408145,0.4681629,1.5318371,1.0,True,0.17408712352726777,1334.847320585986,1333.565320585986,1600.278384703183,232.156550696533,266.71306411719723
10->2,10,2,408,394,1.0,0.22303953,0.22303953,0.77696047,1.0,True,0.0,1989.3068250166068,1915.6412758109109,2298.769530973093,0.0,383.1282551621822
10->3,10,3,408,395,3.0,0.40366949,1.2110084700000001,1.78899153,1.0,True,0.0,1199.509698328059,1071.614625785588,1285.9375509427057,0.0,214.32292515711762
10->4,10,4,408,396,1.0,0.36500277,0.36500277,0.63499723,1.0,True,0.0,986.3540238724199,905.365481024463,1086.4385772293556,0.0,181.0730962048926
