numeric_u,numeric_v,original_u,original_v
1,926,392,919
2,626,393,611
2,921,393,914
3,58,394,27
4,86,395,57
5,1261,396,1261
6,90,397,61
6,365,397,345
7,1097,398,1094
8,805,399,794
9,605,401,589
9,634,401,620
10,227,402,201
10,231,402,206
10,232,402,207
11,1025,403,1019
11,1027,403,1021
12,738,404,726
13,535,405,517
13,1191,405,1190
14,47,406,16
14,346,406,325
15,948,407,941
15,952,407,945
15,1085,407,1081
16,122,408,96
16,553,408,537
16,554,408,538
16,953,408,946
17,99,409,70
17,325,409,303
17,328,409,306
18,680,410,667
18,1202,410,1201
19,101,412,73
19,104,412,77
19,105,412,78
19,680,412,667
20,108,413,82
20,286,413,263
21,262,414,238
21,290,414,268
21,406,414,387
22,257,415,233
22,1059,415,1054
23,352,416,331
24,899,417,890
25,727,418,715
26,316,419,294
26,630,419,615
27,652,420,639
28,466,421,448
29,282,423,259
33,72,2,42
33,90,2,61
41,42,10,11
41,44,10,13
45,46,14,15
45,47,14,16
45,958,14,952
46,244,15,219
47,594,16,578
47,956,16,950
52,594,21,578
52,934,21,927
54,56,23,25
54,57,23,26
56,581,25,565
57,58,26,27
57,59,26,28
59,390,28,371
66,69,36,39
66,71,36,41
66,1137,36,1135
69,388,39,369
70,1172,40,1170
71,558,41,542
72,73,42,43
72,74,42,44
72,80,42,50
73,506,43,488
74,363,44,343
75,76,45,46
75,363,45,343
76,94,46,65
77,80,47,50
77,1261,47,1261
78,79,48,49
78,80,48,50
78,328,48,306
78,338,48,317
79,94,49,65
85,1204,56,1203
85,1244,56,1243
86,87,57,58
86,364,57,344
87,624,58,609
88,364,59,344
88,1144,59,1142
89,90,60,61
91,358,62,338
91,1002,62,996
92,96,63,67
93,1204,64,1203
94,95,65,66
94,96,65,67
95,110,66,84
95,527,66,509
97,98,68,69
98,338,69,317
99,100,70,71
99,101,70,73
99,1202,70,1201
100,102,71,74
100,103,71,75
100,325,71,303
101,110,73,84
102,355,74,335
102,948,74,941
103,934,75,927
103,948,75,941
103,1202,75,1201
105,106,78,80
105,107,78,81
106,1107,80,1104
107,108,81,82
111,113,85,87
111,114,85,88
111,716,85,703
113,301,87,279
114,258,88,234
122,124,96,98
123,824,97,814
124,125,98,99
125,634,99,620
129,130,103,104
129,131,103,105
129,133,103,107
131,721,105,708
131,803,105,792
133,821,107,811
139,142,113,116
139,849,113,840
142,792,116,780
144,767,118,755
152,154,126,128
152,768,126,756
154,699,128,686
157,349,131,328
157,427,131,409
158,954,132,947
161,162,135,136
161,163,135,137
161,164,135,138
161,165,135,139
162,534,136,516
163,345,137,324
164,373,138,354
165,864,139,855
181,182,155,156
181,183,155,157
182,1141,156,1139
183,865,157,856
188,189,162,163
188,569,162,553
189,1020,163,1014
189,1026,163,1020
198,221,172,195
198,659,172,646
199,201,173,175
199,202,173,176
201,220,175,194
202,926,176,919
203,204,177,178
203,206,177,180
204,222,178,196
205,648,179,634
206,623,180,608
211,213,185,187
211,1102,185,1099
213,922,187,915
220,221,194,195
220,222,194,196
220,223,194,197
223,225,197,199
225,226,199,200
226,1102,200,1099
227,229,201,204
227,230,201,205
229,233,204,208
230,555,205,539
231,342,206,321
232,760,207,748
233,235,208,210
233,236,208,211
235,243,210,218
237,238,212,213
237,239,212,214
237,742,212,730
238,243,213,218
239,964,214,958
241,1258,216,1258
242,952,217,945
243,442,218,424
245,246,220,221
245,254,220,230
246,600,221,584
246,602,221,586
246,1117,221,1114
254,255,230,231
254,256,230,232
254,257,230,233
255,259,231,235
256,261,232,237
258,259,234,235
261,262,237,238
261,724,237,711
276,651,253,637
276,701,253,688
281,282,258,259
281,285,258,262
281,333,258,311
282,718,259,705
284,718,261,705
285,286,262,263
285,482,262,464
285,1227,262,1226
286,287,263,264
286,332,263,310
287,404,264,385
287,482,264,464
287,586,264,570
288,289,266,267
288,290,266,268
288,300,266,278
289,317,267,295
289,488,267,470
290,404,268,385
292,294,270,272
292,295,270,273
292,296,270,274
293,313,271,291
294,727,272,715
295,301,273,279
303,304,281,282
303,305,281,283
303,307,281,285
304,466,282,448
305,1180,283,1178
309,311,287,289
309,312,287,290
311,634,289,620
312,1073,290,1069
313,314,291,292
314,316,292,294
314,317,292,295
315,488,293,470
317,485,295,467
325,330,303,308
329,330,307,308
329,553,307,537
333,1229,311,1228
339,341,318,320
339,342,318,321
341,1026,320,1020
344,345,323,324
344,346,323,325
344,350,323,329
346,750,325,738
349,350,328,329
351,595,330,579
351,662,330,649
352,353,331,332
353,522,332,504
357,367,337,348
358,370,338,351
359,360,339,340
359,362,339,342
362,394,342,375
363,364,343,344
365,366,345,346
365,970,345,964
366,1002,346,996
370,372,351,353
372,996,353,990
373,376,354,357
376,397,357,378
388,390,369,371
394,395,375,376
395,833,376,823
397,737,378,725
397,738,378,726
403,423,384,405
406,586,387,570
406,587,387,571
408,832,389,822
423,870,405,861
427,679,409,666
429,551,411,534
436,580,418,564
442,952,424,945
461,463,443,445
461,554,443,538
463,951,445,944
464,466,446,448
464,467,446,449
466,718,448,705
480,481,462,463
480,482,462,464
506,508,488,490
508,580,490,564
514,517,496,499
514,518,496,500
517,845,499,835
518,650,500,636
522,708,504,695
534,535,516,517
566,567,550,551
566,569,550,553
567,761,551,749
581,584,565,568
584,659,568,646
586,1106,570,1103
586,1109,570,1106
588,648,572,634
594,595,578,579
594,596,578,580
600,603,584,587
602,764,586,752
603,1257,587,1257
605,607,589,591
608,610,593,595
608,611,593,596
610,639,595,625
611,630,596,615
616,630,601,615
617,1180,602,1178
622,660,607,647
623,660,608,647
624,626,609,611
626,643,611,629
639,641,625,627
641,865,627,856
650,651,636,637
652,1141,639,1139
653,654,640,641
653,1020,640,1014
654,767,641,755
660,661,647,648
664,680,651,667
664,1256,651,1256
680,1108,667,1105
681,683,668,670
732,905,720,896
732,1070,720,1066
734,736,722,724
734,996,722,990
742,743,730,731
742,851,730,842
750,752,738,740
752,850,740,841
760,762,748,750
803,805,792,794
805,905,794,896
821,970,811,964
850,851,841,842
899,901,890,892
1020,1025,1014,1019
1085,1258,1081,1258
1097,1137,1094,1135
