od,origin,destination,original_origin,original_destination,demand,pi_w,protected_demand,unprotected_demand,z_value,covered,u_w,path_length,shortest_length,detour_cap,model_uncovered_length,uncovered_cap_if_required
1->14,1,14,392,406,3.0,0.85,2.55,0.45000000000000007,1.0,True,0.04061677973360562,2265.516877593976,2265.516877593976,2718.620253112771,92.01800000000048,453.10337551879525
1->15,1,15,392,407,2.0,0.85,1.7,0.30000000000000004,1.0,True,0.19142568687738346,1954.721992141428,1954.721992141428,2345.6663905697137,374.1840000000002,390.94439842828564
1->16,1,16,392,408,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,1828.267624468033,1828.267624468033,2193.9211493616394,0.0,365.65352489360663
1->17,1,17,392,409,2.0,0.85,1.7,0.30000000000000004,1.0,True,0.08954194306989671,1455.26214344357,1455.26214344357,1746.314572132284,130.30700000000002,291.05242868871403
1->18,1,18,392,410,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,1636.7328253284159,1578.701208904545,1894.441450685454,0.0,315.740241780909
1->19,1,19,392,412,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,1478.7821800292297,1328.730208904545,1594.4762506854538,0.0,265.746041780909
1->2,1,2,392,393,2.0,0.85,1.7,0.30000000000000004,1.0,True,0.07756670504221139,543.704357868384,529.818049236598,635.7816590839176,41.09624035117503,105.9636098473196
1->20,1,20,392,413,1.0,0.85,0.85,0.15000000000000002,1.0,True,0.19381835790696936,1145.78418002923,1061.69118002923,1274.029416035076,205.77524111757793,212.33823600584603
1->24,1,24,392,417,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,2200.926027172309,2032.375680183543,2438.8508162202515,0.0,406.4751360367086
1->26,1,26,392,419,2.0,0.85,1.7,0.30000000000000004,1.0,True,0.1735769784365356,2002.330973488463,1730.0705855462556,2076.0847026555066,300.30042472104697,346.0141171092512
1->28,1,28,392,421,2.0,0.85,1.7,0.30000000000000004,0.0,False,1.0,1493.6789127069228,1257.1445213119498,1508.5734255743398,0.0,251.42890426238998
1->29,1,29,392,423,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,1188.579267592846,1013.905,1216.686,0.0,202.781
1->3,1,3,392,394,8.0,0.85,6.8,1.2000000000000002,1.0,True,0.0,957.315385892906,909.4529329092419,1091.3435194910903,0.0,181.8905865818484
1->4,1,4,392,395,3.0,0.85,2.55,0.45000000000000007,1.0,True,0.15898395552616515,766.755251295046,762.944912262152,915.5338947145824,121.29599999999994,152.5889824524304
1->5,1,5,392,396,1.0,0.85,0.85,0.15000000000000002,1.0,True,0.14387617314555787,934.76214344357,934.76214344357,1121.714572132284,134.4899999999999,186.952428688714
1->6,1,6,392,397,4.0,0.85,3.4,0.6000000000000001,1.0,True,0.07099035852388395,1296.204187629811,1296.204187629811,1555.4450251557732,92.01800000000003,259.2408375259622
1->7,1,7,392,398,3.0,0.85,2.55,0.45000000000000007,0.0,False,1.0,1289.4488208016157,1289.4488208016157,1547.3385849619387,0.0,257.8897641603232
1->8,1,8,392,399,1.0,0.85,0.85,0.15000000000000002,1.0,True,0.04330520409850682,2124.8716387685236,2124.8716387685236,2549.845966522228,92.01799999999957,424.97432775370476
1->9,1,9,392,401,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,2235.8443638059935,2235.8443638059935,2683.013236567192,0.0,447.1688727611987
10->11,10,11,402,403,35.0,0.15,5.25,29.75,1.0,True,0.14855023082380156,572.298,572.298,686.7576,85.01499999999999,114.45960000000001
10->12,10,12,402,404,23.0,0.15,3.4499999999999997,19.55,1.0,True,0.1746443356188804,1078.7591846217792,1060.0919929658592,1272.1103915590309,185.13906180641732,212.01839859317184
10->13,10,13,402,405,14.0,0.15,2.1,11.9,1.0,True,0.051374879860182646,1408.7684784888982,1403.1169913161282,1683.7403895793539,72.08496685864702,280.6233982632256
10->14,10,14,402,406,18.0,0.85,15.299999999999999,2.7,1.0,True,0.031440491345238256,647.5089646804561,647.5089646804561,777.0107576165473,20.35800000000006,129.50179293609122
10->15,10,15,402,407,3.0,0.85,2.55,0.45000000000000007,1.0,True,0.0,850.2211831777349,850.2211831777349,1020.2654198132818,0.0,170.044236635547
10->16,10,16,402,408,4.0,0.85,3.4,0.6000000000000001,1.0,True,0.05902666271302458,918.144403038417,918.144403038417,1101.7732836461003,54.194999999999936,183.6288806076834
10->17,10,17,402,409,1.0,0.85,0.85,0.15000000000000002,1.0,True,0.03215083845808073,1354.058666894587,1294.5541079517059,1553.464929542047,41.621000000000095,258.9108215903412
10->18,10,18,402,410,4.0,0.15,0.6,3.4,1.0,True,0.0,1229.299031875593,1229.299031875593,1475.1588382507116,0.0,245.85980637511864
10->19,10,19,402,412,3.0,0.15,0.44999999999999996,2.55,1.0,True,0.06979728483072861,1479.5312036113921,1426.3791385579962,1711.6549662695954,99.55739101054178,285.2758277115992
