numeric_u,numeric_v,original_u,original_v
1,293,393,914
2,22,394,27
3,42,395,52
3,46,395,57
3,370,395,1167
4,34,396,44
4,400,396,1261
5,50,397,61
5,127,397,345
6,276,398,835
6,338,398,1094
7,259,399,794
9,307,407,941
9,377,407,1200
10,192,408,538
10,311,408,946
11,59,409,70
11,116,409,306
12,228,410,667
12,378,410,1201
13,64,412,77
13,228,412,667
14,152,414,387
17,32,2,42
17,50,2,61
21,22,26,27
21,23,26,28
23,143,28,371
23,374,28,1171
26,29,36,39
26,357,36,1135
27,31,37,41
31,194,41,542
32,34,42,44
33,173,43,488
34,125,44,343
37,40,47,50
37,400,47,1261
38,40,48,50
38,116,48,306
42,52,52,63
46,48,57,59
46,126,57,344
48,359,59,1142
51,124,62,338
51,325,62,996
52,189,63,531
59,378,70,1201
63,307,75,941
63,378,75,1201
64,153,77,390
78,80,103,105
78,82,103,107
80,257,105,792
82,272,107,811
87,157,183,417
87,297,183,926
105,224,253,637
105,239,253,687
121,377,335,1200
124,132,338,351
125,126,343,344
127,315,345,964
128,325,346,996
132,134,351,353
134,323,353,990
141,143,369,371
152,211,387,571
153,184,390,508
157,204,417,562
159,160,419,420
159,359,419,1142
160,297,420,926
173,175,488,490
175,196,490,544
176,179,496,499
176,180,496,500
179,276,499,835
180,223,500,636
184,189,508,531
192,324,538,991
194,196,542,544
204,205,562,563
205,349,563,1108
211,226,571,650
216,295,610,916
216,369,610,1166
223,224,636,637
226,347,650,1105
228,347,667,1105
239,331,687,1066
247,281,720,896
247,331,720,1066
249,251,722,724
249,323,722,990
251,311,724,946
257,259,792,794
259,281,794,896
272,315,811,964
293,295,914,916
338,357,1094,1135
349,372,1108,1169
369,370,1166,1167
372,374,1169,1171
