od,origin,destination,original_origin,original_destination,demand,pi_w,protected_demand,unprotected_demand,z_value,covered,u_w,path_length,shortest_length,detour_cap,model_uncovered_length,uncovered_cap_if_required
1->10,1,10,393,408,1.0,0.15,0.15,0.85,1.0,True,0.017330781754216477,1477.149469674904,1301.787785453535,1562.1453425442419,22.561,260.357557090707
1->11,1,11,393,409,2.0,0.15,0.3,1.7,1.0,True,0.0,1111.5674458024841,927.5601596679469,1113.0721916015361,0.0,185.51203193358938
1->12,1,12,393,410,2.0,0.15,0.3,1.7,1.0,True,0.0,1121.209939926328,1048.883159667947,1258.6597916015364,0.0,209.7766319335894
1->13,1,13,393,412,8.0,0.85,6.8,1.2000000000000002,1.0,True,0.0,871.2389399263278,798.912159667947,958.6945916015363,0.0,159.7824319335894
1->14,1,14,393,414,1.0,0.85,0.85,0.15000000000000002,0.0,False,1.0,898.215159667947,898.215159667947,1077.8581916015364,0.0,179.6430319335894
1->2,1,2,393,394,5.0,0.85,4.25,0.7500000000000001,1.0,True,0.0,1197.972578826633,1094.030735611676,1312.8368827340112,0.0,218.8061471223352
1->3,1,3,393,395,5.0,0.15,0.75,4.25,1.0,True,0.0,277.639771346845,277.639771346845,333.167725616214,0.0,55.527954269369005
1->4,1,4,393,396,5.0,0.15,0.75,4.25,1.0,True,0.0,575.739445802484,569.335590170867,683.2027082050404,0.0,113.86711803417342
1->5,1,5,393,397,11.0,0.15,1.65,9.35,1.0,True,0.0,937.181489988725,930.777634357108,1116.9331612285296,0.0,186.1555268714216
1->6,1,6,393,398,7.0,0.15,1.05,5.95,1.0,True,0.03017994109231693,1413.792466719007,1355.3041695768218,1626.3650034921861,40.903,271.06083391536436
1->7,1,7,393,399,8.0,0.15,1.2,6.8,1.0,True,0.0,1765.848941127438,1759.4450854958209,2111.334102594985,0.0,351.8890170991642
1->8,1,8,393,401,5.0,0.15,0.75,4.25,0.0,False,1.0,1917.9166781380889,1729.7570559746391,2075.708467169567,0.0,345.95141119492786
10->1,10,1,408,393,1.0,0.15,0.15,0.85,1.0,True,0.017330781754216477,1477.149469674904,1301.787785453535,1562.1453425442419,22.561,260.357557090707
10->11,10,11,408,409,2.0,0.15,0.3,1.7,0.0,False,1.0,376.40970491328903,376.40970491328903,451.6916458959468,0.0,75.28194098265782
10->12,10,12,408,410,4.0,0.15,0.6,3.4,1.0,True,0.1999838671921156,756.679000238296,740.0743205859859,888.089184703183,148.002924640363,148.0148641171972
10->13,10,13,408,412,5.0,0.15,0.75,4.25,0.0,False,1.0,748.609704913289,740.069320585986,888.0831847031832,0.0,148.01386411719722
10->14,10,14,408,414,2.0,0.85,1.7,0.30000000000000004,1.0,True,0.11098288351959287,1350.170000238296,1333.565320585986,1600.278384703183,148.002924640363,266.71306411719723
10->2,10,2,408,394,1.0,0.15,0.15,0.85,1.0,True,0.011777257195739684,2018.6525058078464,1915.6412758109109,2298.769530973093,22.561,383.1282551621822
10->3,10,3,408,395,3.0,0.15,0.44999999999999996,2.55,1.0,True,0.021053277416273407,1199.509698328059,1071.614625785588,1285.9375509427057,22.561,214.32292515711762
10->4,10,4,408,396,1.0,0.15,0.15,0.85,1.0,True,0.024919218230488736,986.3540238724199,905.365481024463,1086.4385772293556,22.561,181.0730962048926
10->5,10,5,408,397,6.0,0.15,0.8999999999999999,5.1,1.0,True,0.04178210717811842,539.967979686179,539.967979686179,647.9615756234148,22.561,107.9935959372358
10->6,10,6,408,398,1.0,0.15,0.15,0.85,1.0,True,0.12182742848845782,1691.882947293009,1478.4365839928437,1774.1239007914123,180.114127211108,295.68731679856876
10->7,10,7,408,399,9.0,0.15,1.3499999999999999,7.6499999999999995,1.0,True,0.01754363549550047,1285.993430824892,1285.993430824892,1543.1921169898703,22.561,257.19868616497837
10->8,10,8,408,401,4.0,0.15,0.6,3.4,0.0,False,1.0,440.767208463185,440.767208463185,528.9206501558219,0.0,88.153441692637
10->9,10,9,408,407,1.0,0.15,0.15,0.85,0.0,False,1.0,377.601151540438,377.601151540438,453.12138184852563,0.0,75.5202303080876
11->1,11,1,409,393,3.0,0.15,0.44999999999999996,2.55,1.0,True,0.0,1111.5674458024841,927.560159667947,1113.0721916015364,0.0,185.5120319335894
11->10,11,10,409,408,4.0,0.15,0.6,3.4,0.0,False,1.0,376.409704913289,376.409704913289,451.69164589594675,0.0,75.2819409826578
11->12,11,12,409,410,4.0,0.15,0.6,3.4,1.0,True,0.0,372.75199999999995,372.75199999999995,447.3023999999999,0.0,74.5504
11->13,11,13,409,412,10.0,0.15,1.5,8.5,0.0,False,1.0,372.2,372.2,446.64,0.0,74.44
11->14,11,14,409,414,1.0,0.85,0.85,0.15000000000000002,1.0,True,0.0,966.2429999999999,966.2429999999999,1159.4915999999998,0.0,193.2486
11->2,11,2,409,394,2.0,0.15,0.3,1.7,1.0,True,0.0,1653.0704819354269,1579.5306343119837,1895.4367611743803,0.0,315.9061268623968
11->3,11,3,409,395,3.0,0.15,0.44999999999999996,2.55,1.0,True,0.0,833.927674455639,697.3870000000002,836.8644000000002,0.0,139.47740000000005
11->4,11,4,409,396,5.0,0.85,4.25,0.7500000000000001,1.0,True,0.0,535.828,535.828,642.9935999999999,0.0,107.1656
11->5,11,5,409,397,9.0,0.15,1.3499999999999999,7.6499999999999995,1.0,True,0.0,982.2140441862409,834.793847882601,1001.7526174591211,0.0,166.9587695765202
11->6,11,6,409,398,4.0,0.15,0.6,3.4,1.0,True,0.11974515908659691,1455.994923420589,1315.736923420589,1578.8843081047066,157.553127211108,263.1473846841178
11->7,11,7,409,399,7.0,0.15,1.05,5.95,1.0,True,0.0,1810.881495324954,1658.059467894256,1989.671361473107,0.0,331.6118935788512
11->8,11,8,409,401,2.0,0.15,0.3,1.7,0.0,False,1.0,817.176913376474,817.176913376474,980.6122960517687,0.0,163.43538267529482
11->9,11,9,409,407,1.0,0.15,0.15,0.85,1.0,True,0.0,504.8178486978579,501.199848697858,601.4398184374296,0.0,100.2399697395716
12->1,12,1,410,393,3.0,0.15,0.44999999999999996,2.55,1.0,True,0.0,1121.209939926328,1048.8831596679468,1258.659791601536,0.0,209.77663193358936
12->10,12,10,410,408,4.0,0.15,0.6,3.4,1.0,True,0.19998386719211558,756.679000238296,740.074320585986,888.0891847031832,148.002924640363,148.01486411719722
12->11,12,11,410,409,4.0,0.15,0.6,3.4,1.0,True,0.0,372.752,372.752,447.3024,0.0,74.55040000000001
12->13,12,13,410,412,13.0,0.15,1.95,11.049999999999999,1.0,True,0.0,249.971,249.971,299.9652,0.0,49.994200000000006
