zone_id,original_id,node_type,x,y,protected_share,unprotected_share,generation_method,generation_seed
1,393,zone,-93.26730099994843,44.97085745111296,0.54404355,0.45595645,synthetic_beta_2_3_by_zone,2026072402
2,394,zone,-93.25849160000273,44.96799290107725,0.29056227,0.70943773,synthetic_beta_2_3_by_zone,2026072402
3,395,zone,-93.26543480000278,44.97271000107729,0.66666011,0.33333989,synthetic_beta_2_3_by_zone,2026072402
4,396,zone,-93.26415420000276,44.9740818010773,0.56211261,0.43788739,synthetic_beta_2_3_by_zone,2026072402
5,397,zone,-93.26167319999507,44.976340101082016,0.41878538,0.58121462,synthetic_beta_2_3_by_zone,2026072402
6,398,zone,-93.25534230000268,44.97282140107729,0.43826625,0.56173375,synthetic_beta_2_3_by_zone,2026072402
7,399,zone,-93.25440570000268,44.97915560107735,0.33453408,0.66546592,synthetic_beta_2_3_by_zone,2026072402
8,401,zone,-93.2644473000028,44.98284540107736,0.44211303,0.55788697,synthetic_beta_2_3_by_zone,2026072402
9,407,zone,-93.26979600001252,44.97982410107948,0.22761598,0.77238402,synthetic_beta_2_3_by_zone,2026072402
10,408,zone,-93.2662534000028,44.97961960107735,0.17481298,0.82518702,synthetic_beta_2_3_by_zone,2026072402
11,409,zone,-93.26872570000283,44.97672140107733,0.31367303,0.68632697,synthetic_beta_2_3_by_zone,2026072402
12,410,zone,-93.27225910000286,44.97690140107733,0.41318629,0.58681371,synthetic_beta_2_3_by_zone,2026072402
13,412,zone,-93.27169440000286,44.97535710107729,0.06418747,0.93581253,synthetic_beta_2_3_by_zone,2026072402
14,414,zone,-93.27708410000291,44.9750171010773,0.38392386,0.61607614,synthetic_beta_2_3_by_zone,2026072402
