origin,destination,original_origin,original_destination,demand,pi_w,protected_demand,unprotected_demand,origin_protected_share,destination_protected_share,generation_method,generation_seed
1,2,392,393,2.000000,0.45981818,0.91963635,1.08036365,0.73741142,0.15934061,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
1,3,392,394,8.000000,0.49071069,3.92568553,4.07431447,0.73741142,0.23830746,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
1,4,392,395,3.000000,0.50406748,1.51220245,1.48779755,0.73741142,0.22055417,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
1,5,392,396,1.000000,0.60153979,0.60153979,0.39846021,0.73741142,0.36887416,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
1,6,392,397,4.000000,0.53765383,2.15061531,1.84938469,0.73741142,0.24642650,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
1,7,392,398,3.000000,0.66039576,1.98118729,1.01881271,0.73741142,0.60468921,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
1,8,392,399,1.000000,0.62927690,0.62927690,0.37072310,0.73741142,0.53678249,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
1,9,392,401,1.000000,0.39506199,0.39506199,0.60493801,0.73741142,0.07110743,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
1,14,392,406,3.000000,0.37898177,1.13694532,1.86305468,0.73741142,0.06710322,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
1,15,392,407,2.000000,0.43688532,0.87377064,1.12622936,0.73741142,0.16299935,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
1,16,392,408,1.000000,0.51051601,0.51051601,0.48948399,0.73741142,0.27291615,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
1,17,392,409,2.000000,0.44227883,0.88455767,1.11544233,0.73741142,0.24437834,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
1,18,392,410,1.000000,0.50871097,0.50871097,0.49128903,0.73741142,0.31395496,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
1,19,392,412,1.000000,0.47921654,0.47921654,0.52078346,0.73741142,0.29900358,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
1,20,392,413,1.000000,0.46893949,0.46893949,0.53106051,0.73741142,0.22464177,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
1,24,392,417,1.000000,0.53660787,0.53660787,0.46339213,0.73741142,0.23797094,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
1,26,392,419,2.000000,0.72270434,1.44540868,0.55459132,0.73741142,0.69803216,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
1,28,392,421,2.000000,0.45669790,0.91339580,1.08660420,0.73741142,0.17701773,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
1,29,392,423,1.000000,0.53734500,0.53734500,0.46265500,0.73741142,0.30008886,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
2,1,393,392,3.000000,0.40589734,1.21769201,1.78230799,0.15934061,0.73741142,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
2,3,393,394,5.000000,0.19079125,0.95395623,4.04604377,0.15934061,0.23830746,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
2,4,393,395,5.000000,0.19084743,0.95423713,4.04576287,0.15934061,0.22055417,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
2,5,393,396,5.000000,0.23562318,1.17811590,3.82188410,0.15934061,0.36887416,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
2,6,393,397,11.000000,0.20675140,2.27426539,8.72573461,0.15934061,0.24642650,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
2,7,393,398,7.000000,0.38940328,2.72582293,4.27417707,0.15934061,0.60468921,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
2,8,393,399,8.000000,0.39195210,3.13561683,4.86438317,0.15934061,0.53678249,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072401
