origin,destination,original_origin,original_destination,demand,pi_w,protected_demand,unprotected_demand,origin_protected_share,destination_protected_share,generation_method,generation_seed
1,2,393,394,5.000000,0.37868507,1.89342535,3.10657465,0.54404355,0.29056227,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
1,3,393,395,5.000000,0.55999514,2.79997569,2.20002431,0.54404355,0.66666011,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
1,4,393,396,5.000000,0.56582048,2.82910241,2.17089759,0.54404355,0.56211261,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
1,5,393,397,11.000000,0.44430004,4.88730044,6.11269956,0.54404355,0.41878538,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
1,6,393,398,7.000000,0.51738572,3.62170007,3.37829993,0.54404355,0.43826625,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
1,7,393,399,8.000000,0.45490413,3.63923303,4.36076697,0.54404355,0.33453408,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
1,8,393,401,5.000000,0.47266368,2.36331839,2.63668161,0.54404355,0.44211303,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
1,10,393,408,1.000000,0.34168190,0.34168190,0.65831810,0.54404355,0.17481298,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
1,11,393,409,2.000000,0.41878538,0.83757076,1.16242924,0.54404355,0.31367303,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
1,12,393,410,2.000000,0.44297347,0.88594693,1.11405307,0.54404355,0.41318629,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
1,13,393,412,8.000000,0.35319718,2.82557744,5.17442256,0.54404355,0.06418747,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
1,14,393,414,1.000000,0.47531495,0.47531495,0.52468505,0.54404355,0.38392386,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
2,1,394,393,8.000000,0.41064133,3.28513062,4.71486938,0.29056227,0.54404355,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
2,3,394,395,12.000000,0.47078889,5.64946671,6.35053329,0.29056227,0.66666011,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
2,4,394,396,3.000000,0.39985157,1.19955472,1.80044528,0.29056227,0.56211261,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
2,5,394,397,21.000000,0.33058436,6.94227152,14.05772848,0.29056227,0.41878538,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
2,6,394,398,24.000000,0.40840437,9.80170497,14.19829503,0.29056227,0.43826625,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
2,7,394,399,12.000000,0.34465387,4.13584643,7.86415357,0.29056227,0.33453408,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
2,8,394,401,2.000000,0.34806090,0.69612179,1.30387821,0.29056227,0.44211303,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
2,10,394,408,1.000000,0.25203708,0.25203708,0.74796292,0.29056227,0.17481298,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
2,11,394,409,2.000000,0.33415125,0.66830251,1.33169749,0.29056227,0.31367303,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
2,12,394,410,1.000000,0.33378967,0.33378967,0.66621033,0.29056227,0.41318629,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
2,13,394,412,4.000000,0.18834759,0.75339035,3.24660965,0.29056227,0.06418747,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
2,14,394,414,1.000000,0.37185869,0.37185869,0.62814131,0.29056227,0.38392386,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
3,1,395,393,4.000000,0.62293545,2.49174179,1.50825821,0.66666011,0.54404355,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
3,2,395,394,10.000000,0.45791364,4.57913640,5.42086360,0.66666011,0.29056227,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
3,4,395,396,10.000000,0.62151757,6.21517574,3.78482426,0.66666011,0.56211261,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
3,5,395,397,19.000000,0.55821547,10.60609384,8.39390616,0.66666011,0.41878538,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
3,6,395,398,7.000000,0.50785172,3.55496207,3.44503793,0.66666011,0.43826625,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
3,7,395,399,14.000000,0.54640122,7.64961711,6.35038289,0.66666011,0.33453408,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
3,8,395,401,2.000000,0.52960216,1.05920432,0.94079568,0.66666011,0.44211303,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
3,9,395,407,3.000000,0.46772374,1.40317121,1.59682879,0.66666011,0.22761598,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
3,10,395,408,2.000000,0.37439627,0.74879253,1.25120747,0.66666011,0.17481298,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
3,11,395,409,5.000000,0.53629154,2.68145769,2.31854231,0.66666011,0.31367303,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
3,12,395,410,6.000000,0.55388429,3.32330571,2.67669429,0.66666011,0.41318629,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
3,13,395,412,8.000000,0.40373550,3.22988400,4.77011600,0.66666011,0.06418747,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
3,14,395,414,2.000000,0.50078650,1.00157301,0.99842699,0.66666011,0.38392386,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
4,1,396,393,4.000000,0.59784919,2.39139677,1.60860323,0.56211261,0.54404355,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
4,2,396,394,5.000000,0.42427838,2.12139191,2.87860809,0.56211261,0.29056227,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
4,3,396,395,10.000000,0.57506991,5.75069905,4.24930095,0.56211261,0.66666011,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
4,5,396,397,20.000000,0.46184645,9.23692898,10.76307102,0.56211261,0.41878538,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
4,6,396,398,15.000000,0.45535912,6.83038674,8.16961326,0.56211261,0.43826625,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
4,7,396,399,13.000000,0.44314708,5.76091203,7.23908797,0.56211261,0.33453408,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
4,8,396,401,1.000000,0.47688890,0.47688890,0.52311110,0.56211261,0.44211303,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
4,9,396,407,6.000000,0.42107620,2.52645717,3.47354283,0.56211261,0.22761598,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
4,10,396,408,4.000000,0.38830131,1.55320525,2.44679475,0.56211261,0.17481298,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
4,11,396,409,4.000000,0.43242528,1.72970111,2.27029889,0.56211261,0.31367303,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
4,12,396,410,8.000000,0.46433255,3.71466042,4.28533958,0.56211261,0.41318629,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
4,13,396,412,8.000000,0.29387620,2.35100960,5.64899040,0.56211261,0.06418747,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
4,14,396,414,2.000000,0.42632200,0.85264400,1.14735600,0.56211261,0.38392386,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
5,1,397,393,11.000000,0.50683124,5.57514368,5.42485632,0.41878538,0.54404355,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
5,2,397,394,19.000000,0.39217199,7.45126786,11.54873214,0.41878538,0.29056227,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
5,3,397,395,26.000000,0.54169412,14.08404714,11.91595286,0.41878538,0.66666011,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
5,4,397,396,18.000000,0.49417577,8.89516385,9.10483615,0.41878538,0.56211261,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
5,6,397,398,37.000000,0.43662610,16.15516557,20.84483443,0.41878538,0.43826625,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
5,7,397,399,55.000000,0.41998518,23.09918467,31.90081533,0.41878538,0.33453408,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
5,8,397,401,5.000000,0.47253961,2.36269807,2.63730193,0.41878538,0.44211303,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
5,9,397,407,13.000000,0.28454789,3.69912260,9.30087740,0.41878538,0.22761598,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
5,10,397,408,15.000000,0.27065567,4.05983510,10.94016490,0.41878538,0.17481298,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
5,11,397,409,14.000000,0.34681271,4.85537788,9.14462212,0.41878538,0.31367303,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
5,12,397,410,23.000000,0.42422524,9.75718055,13.24281945,0.41878538,0.41318629,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
5,13,397,412,15.000000,0.21543117,3.23146754,11.76853246,0.41878538,0.06418747,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
5,14,397,414,1.000000,0.44425406,0.44425406,0.55574594,0.41878538,0.38392386,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
6,1,398,393,5.000000,0.50786715,2.53933575,2.46066425,0.43826625,0.54404355,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
6,2,398,394,24.000000,0.40844458,9.80267001,14.19732999,0.43826625,0.29056227,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
6,3,398,395,9.000000,0.51612422,4.64511799,4.35488201,0.43826625,0.66666011,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
6,4,398,396,16.000000,0.49261607,7.88185720,8.11814280,0.43826625,0.56211261,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
6,5,398,397,29.000000,0.37978404,11.01373702,17.98626298,0.43826625,0.41878538,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
6,7,398,399,37.000000,0.35513069,13.13983540,23.86016460,0.43826625,0.33453408,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
6,8,398,401,2.000000,0.47370043,0.94740086,1.05259914,0.43826625,0.44211303,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
6,9,398,407,4.000000,0.33200130,1.32800520,2.67199480,0.43826625,0.22761598,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
6,10,398,408,2.000000,0.32292279,0.64584558,1.35415442,0.43826625,0.17481298,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
6,11,398,409,2.000000,0.38065136,0.76130272,1.23869728,0.43826625,0.31367303,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
6,12,398,410,8.000000,0.43794090,3.50352721,4.49647279,0.43826625,0.41318629,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
6,13,398,412,5.000000,0.21038093,1.05190465,3.94809535,0.43826625,0.06418747,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
6,14,398,414,1.000000,0.39798392,0.39798392,0.60201608,0.43826625,0.38392386,synthetic_mean_origin_destination_zone_share_plus_uniform_noise_0p05,2026072402
