origin,destination,original_origin,original_destination,demand,pi_w,protected_demand,unprotected_demand,base_80_80_covered,base_80_80_status,generation_method,pi_low_for_base_covered,pi_high_for_base_uncovered,base_solution_file
1,2,393,394,5.000000,0.85000000,4.25000000,0.75000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
1,3,393,395,5.000000,0.15000000,0.75000000,4.25000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
1,4,393,396,5.000000,0.15000000,0.75000000,4.25000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
1,5,393,397,11.000000,0.15000000,1.65000000,9.35000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
1,6,393,398,7.000000,0.15000000,1.05000000,5.95000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
1,7,393,399,8.000000,0.15000000,1.20000000,6.80000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
1,8,393,401,5.000000,0.15000000,0.75000000,4.25000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
1,10,393,408,1.000000,0.15000000,0.15000000,0.85000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
1,11,393,409,2.000000,0.15000000,0.30000000,1.70000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
1,12,393,410,2.000000,0.15000000,0.30000000,1.70000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
1,13,393,412,8.000000,0.85000000,6.80000000,1.20000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
1,14,393,414,1.000000,0.85000000,0.85000000,0.15000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
2,1,394,393,8.000000,0.85000000,6.80000000,1.20000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
2,3,394,395,12.000000,0.85000000,10.20000000,1.80000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
2,4,394,396,3.000000,0.15000000,0.45000000,2.55000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
2,5,394,397,21.000000,0.15000000,3.15000000,17.85000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
2,6,394,398,24.000000,0.15000000,3.60000000,20.40000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
2,7,394,399,12.000000,0.85000000,10.20000000,1.80000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
2,8,394,401,2.000000,0.15000000,0.30000000,1.70000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
2,10,394,408,1.000000,0.15000000,0.15000000,0.85000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
2,11,394,409,2.000000,0.15000000,0.30000000,1.70000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
2,12,394,410,1.000000,0.85000000,0.85000000,0.15000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
2,13,394,412,4.000000,0.85000000,3.40000000,0.60000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
2,14,394,414,1.000000,0.85000000,0.85000000,0.15000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
3,1,395,393,4.000000,0.15000000,0.60000000,3.40000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
3,2,395,394,10.000000,0.85000000,8.50000000,1.50000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
3,4,395,396,10.000000,0.15000000,1.50000000,8.50000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
3,5,395,397,19.000000,0.15000000,2.85000000,16.15000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
3,6,395,398,7.000000,0.15000000,1.05000000,5.95000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
3,7,395,399,14.000000,0.15000000,2.10000000,11.90000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
3,8,395,401,2.000000,0.15000000,0.30000000,1.70000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
3,9,395,407,3.000000,0.15000000,0.45000000,2.55000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
3,10,395,408,2.000000,0.15000000,0.30000000,1.70000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
3,11,395,409,5.000000,0.15000000,0.75000000,4.25000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
3,12,395,410,6.000000,0.15000000,0.90000000,5.10000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
3,13,395,412,8.000000,0.85000000,6.80000000,1.20000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
3,14,395,414,2.000000,0.85000000,1.70000000,0.30000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
4,1,396,393,4.000000,0.15000000,0.60000000,3.40000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
4,2,396,394,5.000000,0.15000000,0.75000000,4.25000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
4,3,396,395,10.000000,0.15000000,1.50000000,8.50000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
4,5,396,397,20.000000,0.15000000,3.00000000,17.00000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
4,6,396,398,15.000000,0.15000000,2.25000000,12.75000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
4,7,396,399,13.000000,0.15000000,1.95000000,11.05000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
4,8,396,401,1.000000,0.15000000,0.15000000,0.85000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
4,9,396,407,6.000000,0.15000000,0.90000000,5.10000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
4,10,396,408,4.000000,0.15000000,0.60000000,3.40000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
4,11,396,409,4.000000,0.85000000,3.40000000,0.60000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
4,12,396,410,8.000000,0.15000000,1.20000000,6.80000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
4,13,396,412,8.000000,0.15000000,1.20000000,6.80000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
4,14,396,414,2.000000,0.85000000,1.70000000,0.30000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
5,1,397,393,11.000000,0.15000000,1.65000000,9.35000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
5,2,397,394,19.000000,0.15000000,2.85000000,16.15000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
5,3,397,395,26.000000,0.15000000,3.90000000,22.10000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
5,4,397,396,18.000000,0.15000000,2.70000000,15.30000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
5,6,397,398,37.000000,0.15000000,5.55000000,31.45000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
5,7,397,399,55.000000,0.15000000,8.25000000,46.75000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
5,8,397,401,5.000000,0.15000000,0.75000000,4.25000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
5,9,397,407,13.000000,0.15000000,1.95000000,11.05000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
5,10,397,408,15.000000,0.15000000,2.25000000,12.75000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
5,11,397,409,14.000000,0.15000000,2.10000000,11.90000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
5,12,397,410,23.000000,0.15000000,3.45000000,19.55000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
5,13,397,412,15.000000,0.15000000,2.25000000,12.75000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
5,14,397,414,1.000000,0.85000000,0.85000000,0.15000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
6,1,398,393,5.000000,0.15000000,0.75000000,4.25000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
6,2,398,394,24.000000,0.15000000,3.60000000,20.40000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
6,3,398,395,9.000000,0.15000000,1.35000000,7.65000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
6,4,398,396,16.000000,0.15000000,2.40000000,13.60000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
6,5,398,397,29.000000,0.15000000,4.35000000,24.65000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
6,7,398,399,37.000000,0.85000000,31.45000000,5.55000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
6,8,398,401,2.000000,0.85000000,1.70000000,0.30000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
6,9,398,407,4.000000,0.15000000,0.60000000,3.40000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
6,10,398,408,2.000000,0.15000000,0.30000000,1.70000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
6,11,398,409,2.000000,0.15000000,0.30000000,1.70000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
6,12,398,410,8.000000,0.15000000,1.20000000,6.80000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
6,13,398,412,5.000000,0.15000000,0.75000000,4.25000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
6,14,398,414,1.000000,0.85000000,0.85000000,0.15000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
7,1,399,393,8.000000,0.15000000,1.20000000,6.80000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
7,2,399,394,12.000000,0.85000000,10.20000000,1.80000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
7,3,399,395,12.000000,0.15000000,1.80000000,10.20000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
7,4,399,396,12.000000,0.15000000,1.80000000,10.20000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
7,5,399,397,42.000000,0.15000000,6.30000000,35.70000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
7,6,399,398,35.000000,0.85000000,29.75000000,5.25000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
7,8,399,401,25.000000,0.15000000,3.75000000,21.25000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
7,9,399,407,4.000000,0.15000000,0.60000000,3.40000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
7,10,399,408,8.000000,0.15000000,1.20000000,6.80000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
7,11,399,409,5.000000,0.15000000,0.75000000,4.25000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
7,12,399,410,11.000000,0.15000000,1.65000000,9.35000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
7,13,399,412,14.000000,0.15000000,2.10000000,11.90000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
7,14,399,414,4.000000,0.85000000,3.40000000,0.60000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
8,1,401,393,4.000000,0.15000000,0.60000000,3.40000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
8,2,401,394,2.000000,0.15000000,0.30000000,1.70000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
8,3,401,395,2.000000,0.15000000,0.30000000,1.70000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
8,5,401,397,3.000000,0.15000000,0.45000000,2.55000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
8,6,401,398,3.000000,0.85000000,2.55000000,0.45000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
8,7,401,399,19.000000,0.15000000,2.85000000,16.15000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
8,9,401,407,1.000000,0.15000000,0.15000000,0.85000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
8,10,401,408,6.000000,0.15000000,0.90000000,5.10000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
8,11,401,409,1.000000,0.85000000,0.85000000,0.15000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
8,12,401,410,2.000000,0.15000000,0.30000000,1.70000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
8,13,401,412,2.000000,0.15000000,0.30000000,1.70000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
8,14,401,414,1.000000,0.85000000,0.85000000,0.15000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
9,2,407,394,1.000000,0.15000000,0.15000000,0.85000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
9,3,407,395,3.000000,0.15000000,0.45000000,2.55000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
9,4,407,396,4.000000,0.15000000,0.60000000,3.40000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
9,5,407,397,11.000000,0.15000000,1.65000000,9.35000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
9,6,407,398,5.000000,0.15000000,0.75000000,4.25000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
9,7,407,399,5.000000,0.15000000,0.75000000,4.25000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
9,8,407,401,2.000000,0.15000000,0.30000000,1.70000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
9,10,407,408,2.000000,0.15000000,0.30000000,1.70000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
9,11,407,409,1.000000,0.15000000,0.15000000,0.85000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
9,12,407,410,3.000000,0.85000000,2.55000000,0.45000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
9,13,407,412,7.000000,0.85000000,5.95000000,1.05000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/small_task3_baseline_80_80.json
