origin,destination,original_origin,original_destination,demand,pi_w,protected_demand,unprotected_demand,base_80_80_covered,base_80_80_status,generation_method,pi_low_for_base_covered,pi_high_for_base_uncovered,base_solution_file
1,2,392,393,2.000000,0.85000000,1.70000000,0.30000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
1,3,392,394,8.000000,0.85000000,6.80000000,1.20000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
1,4,392,395,3.000000,0.85000000,2.55000000,0.45000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
1,5,392,396,1.000000,0.85000000,0.85000000,0.15000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
1,6,392,397,4.000000,0.85000000,3.40000000,0.60000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
1,7,392,398,3.000000,0.85000000,2.55000000,0.45000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
1,8,392,399,1.000000,0.85000000,0.85000000,0.15000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
1,9,392,401,1.000000,0.85000000,0.85000000,0.15000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
1,14,392,406,3.000000,0.85000000,2.55000000,0.45000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
1,15,392,407,2.000000,0.85000000,1.70000000,0.30000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
1,16,392,408,1.000000,0.85000000,0.85000000,0.15000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
1,17,392,409,2.000000,0.85000000,1.70000000,0.30000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
1,18,392,410,1.000000,0.85000000,0.85000000,0.15000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
1,19,392,412,1.000000,0.85000000,0.85000000,0.15000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
1,20,392,413,1.000000,0.85000000,0.85000000,0.15000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
1,24,392,417,1.000000,0.85000000,0.85000000,0.15000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
1,26,392,419,2.000000,0.85000000,1.70000000,0.30000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
1,28,392,421,2.000000,0.85000000,1.70000000,0.30000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
1,29,392,423,1.000000,0.85000000,0.85000000,0.15000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
2,1,393,392,3.000000,0.85000000,2.55000000,0.45000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
2,3,393,394,5.000000,0.85000000,4.25000000,0.75000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
2,4,393,395,5.000000,0.15000000,0.75000000,4.25000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
2,5,393,396,5.000000,0.15000000,0.75000000,4.25000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
2,6,393,397,11.000000,0.15000000,1.65000000,9.35000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
2,7,393,398,7.000000,0.85000000,5.95000000,1.05000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
2,8,393,399,8.000000,0.15000000,1.20000000,6.80000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
2,9,393,401,5.000000,0.15000000,0.75000000,4.25000000,1,covered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
2,10,393,402,2.000000,0.85000000,1.70000000,0.30000000,0,uncovered,targeted_high_pi_for_base_uncovered_low_pi_for_base_covered,0.15000000,0.85000000,baseline_inputs/large_task3_baseline_80_80.json
