zone_id,original_id,node_type,x,y,protected_share,unprotected_share,generation_method,generation_seed
1,392,zone,-93.2662069000028,44.96762480107725,0.73741142,0.26258858,synthetic_beta_2_3_by_zone,2026072401
2,393,zone,-93.26730099994843,44.97085745111296,0.15934061,0.84065939,synthetic_beta_2_3_by_zone,2026072401
3,394,zone,-93.25849160000273,44.96799290107725,0.23830746,0.76169254,synthetic_beta_2_3_by_zone,2026072401
4,395,zone,-93.26543480000278,44.97271000107729,0.22055417,0.77944583,synthetic_beta_2_3_by_zone,2026072401
5,396,zone,-93.26415420000276,44.9740818010773,0.36887416,0.63112584,synthetic_beta_2_3_by_zone,2026072401
6,397,zone,-93.26167319999507,44.976340101082016,0.24642650,0.75357350,synthetic_beta_2_3_by_zone,2026072401
7,398,zone,-93.25534230000268,44.97282140107729,0.60468921,0.39531079,synthetic_beta_2_3_by_zone,2026072401
8,399,zone,-93.25440570000268,44.97915560107735,0.53678249,0.46321751,synthetic_beta_2_3_by_zone,2026072401
9,401,zone,-93.2644473000028,44.98284540107736,0.07110743,0.92889257,synthetic_beta_2_3_by_zone,2026072401
10,402,zone,-93.26901120000281,44.98538120107741,0.26153531,0.73846469,synthetic_beta_2_3_by_zone,2026072401
11,403,zone,-93.27418440000288,44.98900050107741,0.24383339,0.75616661,synthetic_beta_2_3_by_zone,2026072401
12,404,zone,-93.27853760001048,44.98718340108023,0.24039549,0.75960451,synthetic_beta_2_3_by_zone,2026072401
13,405,zone,-93.28169850006448,44.98572230109423,0.51499876,0.48500124,synthetic_beta_2_3_by_zone,2026072401
14,406,zone,-93.27371284993194,44.981246051103525,0.06710322,0.93289678,synthetic_beta_2_3_by_zone,2026072401
15,407,zone,-93.26979600001252,44.97982410107948,0.16299935,0.83700065,synthetic_beta_2_3_by_zone,2026072401
16,408,zone,-93.2662534000028,44.97961960107735,0.27291615,0.72708385,synthetic_beta_2_3_by_zone,2026072401
17,409,zone,-93.26872570000283,44.97672140107733,0.24437834,0.75562166,synthetic_beta_2_3_by_zone,2026072401
18,410,zone,-93.27225910000286,44.97690140107733,0.31395496,0.68604504,synthetic_beta_2_3_by_zone,2026072401
19,412,zone,-93.27169440000286,44.97535710107729,0.29900358,0.70099642,synthetic_beta_2_3_by_zone,2026072401
20,413,zone,-93.27382310000287,44.97273380107729,0.22464177,0.77535823,synthetic_beta_2_3_by_zone,2026072401
21,414,zone,-93.27708410000291,44.9750171010773,0.33353233,0.66646767,synthetic_beta_2_3_by_zone,2026072401
22,415,zone,-93.27883436018715,44.97777812144597,0.85454955,0.14545045,synthetic_beta_2_3_by_zone,2026072401
23,416,zone,-93.28530860000299,44.98236790107736,0.25559332,0.74440668,synthetic_beta_2_3_by_zone,2026072401
24,417,zone,-93.283919000003,44.97694310107825,0.23797094,0.76202906,synthetic_beta_2_3_by_zone,2026072401
25,418,zone,-93.28417890000298,44.97397760107729,0.41743330,0.58256670,synthetic_beta_2_3_by_zone,2026072401
26,419,zone,-93.28276460000298,44.971315901077276,0.69803216,0.30196784,synthetic_beta_2_3_by_zone,2026072401
27,420,zone,-93.28442160000299,44.966296001077225,0.49510182,0.50489818,synthetic_beta_2_3_by_zone,2026072401
28,421,zone,-93.27781745000213,44.96944630107771,0.17701773,0.82298227,synthetic_beta_2_3_by_zone,2026072401
29,423,zone,-93.2745567000029,44.969762401077276,0.30008886,0.69991114,synthetic_beta_2_3_by_zone,2026072401
30,424,zone,-93.27076290000284,44.96874770107726,0.39780414,0.60219586,synthetic_beta_2_3_by_zone,2026072401
